stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,134.85,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,42.06,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,3.15,0,3.15,0,0,0,0,0,129.03,0,0,0,0,0,0,0,0,0,0,0,242.32,3.15,0,0,84.97,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,10,4,0,7,0,0,0,13,1,27,0,0,4,0,0,0,0,6,0,0,4,200,26,1,3,7,0,19,3,1,1,3,139,0,0,3,0,2
 24-34,0,0,0,7.39,0,0,37.76,0,0,0,13.13,0.82,4.1,0.82,0,1.64,0,4.93,0,1.64,22.98,2.46,0.82,8.21,379.24,7.39,2.46,3.28,0,0,27.91,0.82,0.82,0,0.82,123.13,0,0,9.85,0,4.93
 36-46,0,0,0,2.42,0,0,57.2,0,2.42,0.81,19.34,0,0,2.42,0,2.42,0.81,0,0,0,30.62,0.81,0,6.45,386.72,1.61,1.61,4.03,0,0,21.75,0,0,0,0,83.79,0,1.61,1.61,0,5.64
 48-58,0,0.57,0,3.44,0,0,50.49,0,0,0.57,35.58,0,4.02,0.57,0.57,0,0,2.3,0,0,49.92,0,1.72,9.18,220.34,0.57,1.15,1.15,0,0.57,11.48,0,0,0,0,56.23,0,0.57,6.31,0,6.31
 60-70,0,0,0,6.87,0,0,75.58,0,0.98,0.98,53,2.94,3.93,0,0,1.96,0,2.94,0,0,73.61,0.98,3.93,10.8,229.68,0.98,2.94,0.98,0,0.98,14.72,0,0,0,0,35.33,0.98,0.98,13.74,0.98,1.96
 72-82,0,3.93,0,8.83,0.98,0,69.7,0,0,1.96,84.42,2.94,1.96,0.98,0,0.98,0,3.93,0,0,116.82,2.94,0,15.71,260.14,0,2.94,1.96,0,0.98,36.32,0,0,0,0,26.5,0,4.91,16.69,8.83,5.89
 84-94,0,1.06,0,8.5,0,2.12,65.85,1.06,5.31,1.06,48.85,7.43,2.12,1.06,0,8.5,0,5.31,5.31,0,86.03,3.19,7.43,5.31,147.62,1.06,2.12,5.31,0,2.12,120.01,0,0,2.12,0,15.93,2.12,2.12,16.99,6.37,7.43
 96-106,0,2.19,0,26.23,1.09,1.09,60.11,0,3.28,2.19,62.29,7.65,0,6.56,0,4.37,2.19,3.28,1.09,0,68.85,3.28,4.37,7.65,153,2.19,5.46,2.19,0,1.09,84.15,0,1.09,0,0,7.65,0,4.37,17.49,8.74,7.65
108-118,0,0,0,10.72,0.77,3.83,45.19,0.77,6.13,2.3,58.98,6.13,0,1.53,0,6.89,0.77,2.3,5.36,1.53,88.09,2.3,5.36,12.26,147.83,0,1.53,2.3,0,4.6,77.36,0,0.77,0,0,6.89,2.3,2.3,17.62,4.6,8.43
120,0,0,0,15.68,0,0,41.16,0,3.92,1.96,45.08,9.8,0,0,1.96,5.88,3.92,1.96,3.92,0,41.16,0,7.84,7.84,125.43,0,1.96,3.92,0,3.92,74.47,0,0,1.96,0,0,1.96,3.92,31.36,0,1.96
