stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
 14-21,1,2,0,0,0,0,1,0,0,0,4,0,0,10,0,0,0,3,0,0,5,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,12.31,0,0,0,0,0,0.82,1.64,0,0.82
 36-46,0,0,0,0,4.03,0,0,0,0.81,0,2.42,0,0,8.06,0,0,0,0,0,0,4.03,0,0
 48-58,0,1.72,0,0,4.02,0,0,0,0,0,2.3,0,1.15,8.03,0.57,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,10.8,0,1.96,0,0.98,0,2.94,0,0,25.52,0,0,0,0,1.96,0,2.94,0,0
 72-82,0,0.98,0,0,3.93,0.98,1.96,0.98,0.98,0,3.93,0,0,35.34,0,0.98,0.98,0,0,0,3.93,0,0
 84-94,0,0,1.06,0,2.12,0,0,1.06,0,0,2.12,0,0,3.19,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,0,2.19,0,4.37,1.09,2.19,1.09,0,6.56,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,1.53,0.77,6.13,0,1.53,0,0.77,9.96,0,0.77,0,0,0,0,0.77,0.77,0
120,0,1.96,1.96,0,0,0,0,0,9.8,0,3.92,0,0,7.84,0,0,0,0,0,0,0,0,0
