stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,2213.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,484.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,18.4,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,9.44,0,0,22.03,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,4,13,4,0,10,0,0,0,6,2,1,0,0,0,0,0,0,11,0,0,3,100,2,1,1,1,0,0,2,14,1,7,49,0,0,0,0,0
 24-34,0,0,1.64,0.82,9.03,0,0,22.16,0,0,2.46,7.39,1.64,0.82,0.82,2.46,0,1.64,0,2.46,27.91,1.64,0,23.8,270.88,0.82,4.93,9.03,0,0,0,0,0,0,4.1,89.47,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,33.84,0,0,3.22,16.11,0,1.61,0.81,0,0,1.61,1.61,7.25,45.92,0,2.42,12.09,243.31,0,12.09,1.61,0,0,0.81,1.61,0,1.61,0,95.87,0,0,1.61,0,1.61
 48-58,0,0,0,0,3.44,0,0,56.23,0,0.57,6.89,30.99,0,1.72,1.72,0,0.57,1.15,0,5.16,70,0,2.3,16.64,195.09,0,13.77,2.87,0,0.57,0.57,0,0,0.57,0,61.97,0,0.57,2.87,0,0.57
 60-70,0,0,0,0,6.87,1.96,0,124.65,0.98,0.98,9.82,55.95,0.98,0.98,3.93,0.98,0.98,0.98,0.98,2.94,142.32,1.96,2.94,8.83,257.16,0,13.74,2.94,0,0.98,0,0,0,0.98,0,27.48,0,0.98,4.91,0,0
 72-82,0,0,1.96,0.98,7.85,2.94,0,138.41,0.98,0,12.76,115.84,1.96,0,7.85,0,2.94,1.96,0.98,1.96,196.33,0.98,3.93,19.63,287.63,0.98,17.67,9.82,0,0.98,0,0,0,0.98,0,23.56,0.98,5.89,8.83,8.83,0
 84-94,0,0,2.12,0,9.56,3.19,0,125.32,1.06,2.12,12.74,62.66,8.5,1.06,18.05,1.06,4.25,2.12,2.12,7.43,135.94,2.12,1.06,12.74,196.48,0,32.92,6.37,0,3.19,0,0,0,1.06,0,21.24,2.12,7.43,10.62,8.5,1.06
 96-106,0,0,6.56,0,8.74,5.46,0,115.84,0,2.19,4.37,63.39,5.46,3.28,24.04,2.19,3.28,4.37,2.19,1.09,136.61,1.09,2.19,8.74,175.95,0,49.18,21.86,0,4.37,1.09,1.09,0,2.19,0,7.65,4.37,5.46,19.67,6.56,1.09
108-118,0,0,5.36,1.53,7.66,3.06,1.53,96.51,0.77,0,5.36,86.55,3.06,0,16.09,1.53,3.06,6.89,1.53,5.36,124.85,2.3,9.96,9.19,189.19,0.77,26.81,12.26,0,2.3,1.53,0.77,0,0.77,0,8.43,3.06,1.53,14.55,9.19,0
120,0,0,0,0,7.84,3.92,0,64.67,0,1.96,3.92,60.75,1.96,3.92,7.84,0,1.96,3.92,0,1.96,68.59,0,9.8,11.76,194.02,0,19.6,13.72,0,3.92,0,0,0,0,0,5.88,0,0,5.88,9.8,0
