stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,737.96,12571.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,410.69,3978.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.94,0,0,0,36.78,85.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,28.92,0,49.95,0,0,52.57,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,601.98,10.51,0,0,260.24,2.63,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,12.59,0,6.29,31.47,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,210.85,12.59,0,0,78.67,0,9.44,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,3,67,0,0,0,1,2,1,7,0,0,14,26,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0.82,5.75,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,9.03,0.82,0,1.64,112.46,2.46,1.64,3.28,0,3.28,0,0,0,0,1.64,33.66,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,16.92,0,0,1.61,4.83,0,0,0,0,0,0,0,0,0.81,8.86,0,0,1.61,147.44,0,2.42,0,0,2.42,0,0,0,0,0,36.26,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,30.99,0,0,1.15,9.75,0,0,0,0,0.57,0,0,0,0,13.2,0,0,2.87,163.53,0,2.3,0,0,0.57,0,0,0,0,0,36.72,0,0.57,1.15,0,0
 60-70,0,0,0,0,0,0.98,67.73,0,0,0,5.89,1.96,0,0.98,0,0.98,0,0,0,0,20.61,0,0,3.93,213.97,0,0,0,0,0,0,0,0,0,0,26.5,0.98,0.98,0,0,0.98
 72-82,0,0,0,0,3.93,0,59.88,0,0,1.96,6.87,0,0,0,1.96,0.98,0,0.98,0.98,0.98,26.5,0,0.98,0.98,160.99,0,0.98,0.98,0,1.96,0,0,0,0,0,9.82,0,0.98,0.98,0,0
 84-94,0,0,0,0,2.12,1.06,22.3,1.06,1.06,0,3.19,2.12,0,0,0,0,0,0,0,1.06,7.43,1.06,0,1.06,66.91,0,3.19,2.12,0,4.25,0,0,0,0,0,9.56,0,0,1.06,1.06,1.06
 96-106,0,0,0,0,1.09,0,20.76,0,0,0,4.37,1.09,0,0,0,0,0,1.09,0,0,7.65,0,0,2.19,64.48,0,3.28,0,0,4.37,0,0,1.09,0,0,3.28,0,0,1.09,1.09,1.09
108-118,0,0,0,0,2.3,0.77,9.19,0,0,0.77,3.06,0.77,0,0.77,1.53,0,0.77,0,0,0,6.13,0,0,1.53,70.47,0.77,2.3,0,0,3.06,0,0,0,0.77,0,1.53,0,0,1.53,0,0.77
120,0,0,0,0,3.92,3.92,3.92,0,0,0,1.96,3.92,0,0,1.96,1.96,0,0,0,0,5.88,0,0,1.96,48.99,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0
