stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0.82,0,0,0,51.71,0,0.82,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,11.28,0,0,2.42,0,1.61,0,0,0,148.24,3.22,0,0,0,0,14.5,0,0,0,0,0
 48-58,0,1.15,0,13.2,0,0,33.85,0,0,2.87,0,9.75,0,0,1.15,244.44,0.57,0.57,0,0,0,28.12,0,0.57,0.57,0,0
 60-70,0,0.98,0,30.43,0,0,63.8,0.98,0,6.87,0,22.58,0,0.98,0,632.1,0,0.98,0,0,0,46.13,0,1.96,0,0,0
 72-82,0,1.96,0.98,47.12,0,0,87.37,0.98,1.96,6.87,0,27.49,0,0.98,1.96,674.4,0,0,0,0.98,0,38.28,0,2.94,0,0,0
 84-94,0,2.12,0,54.16,0,0,55.23,0,2.12,5.31,0,14.87,0,0,1.06,361.09,0,0,0,0,0,16.99,0,2.12,0,0,1.06
 96-106,0,3.28,0,43.71,1.09,0,41.53,0,0,5.46,1.09,9.84,0,0,0,309.28,1.09,3.28,0,0,0,9.84,0,0,0,1.09,0
108-118,0.77,4.6,0.77,24.51,0,0.77,32.94,0,0,3.06,0,5.36,0.77,1.53,0.77,268.85,0.77,1.53,0,0,0,2.3,0.77,0,0,0,0
120,0,3.92,0,23.52,0,0,37.24,1.96,0,3.92,0,1.96,0,0,0,280.25,3.92,0,1.96,0,1.96,3.92,0,0,0,0,0
