stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,somites
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
 24-34,0,0,16.42,0,0,0,0,0,2.46,0,5.75,0.82,0,0,0,0,0,0.82
 36-46,0,0,10.47,0,0,0,0,0,11.28,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,3.44,0,0.57,0,0,0,11.48,0,2.87,0,0,0,0,0,0,0
 60-70,0,0,4.91,0,0,0,0,0,19.63,0,4.91,1.96,0,0,0,0,0,0
 72-82,0,0,2.94,0,0.98,0,0,0,19.63,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,9.56,2.12,0,1.06,0,0,14.87,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,3.28,0,0,0,0,0,12.02,0,2.19,0,0,0,1.09,0,0,0
108-118,0,0,5.36,0,0.77,1.53,0.77,0.77,8.43,0.77,0.77,0.77,0,0,0,0,0,0
120,0,0,3.92,0,0,0,0,0,13.72,0,3.92,0,0,1.96,0,0,0,0
