stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,50,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,28.73,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0,0,46.73,0,0.81,0,0,0,30.62,0,0,0,0
 48-58,0,0,0,0,28.69,0,0,5.74,0,0,0,0,0,0,0,62.54,0,0,0,0,0,40.17,0,0,0,0
 60-70,0,0,0,0,104.04,0,0,15.7,0,0,0,0,0.98,0,0.98,159.01,0.98,0,0,0,0,26.5,0,0,0,0.98
 72-82,0,0.98,1.96,0,107,0,0.98,31.41,0,0,0,0,8.83,0,0.98,271.92,0,0,0,0,0,34.36,2.94,0,0.98,0.98
 84-94,0,0,1.06,0,103.02,0,2.12,24.43,0,0,1.06,0,5.31,0,0,147.62,0,0,0,0,0,31.86,0,0,1.06,0
 96-106,0,0,3.28,1.09,122.4,1.09,1.09,21.86,0,1.09,0,1.09,5.46,0,0,149.72,0,0,0,0,3.28,37.16,1.09,0,0,0
108-118,0,2.3,3.06,0.77,130.21,0,0.77,17.62,0,0,0,0.77,6.89,0.77,0,207.58,0.77,0,0,0.77,0.77,18.38,0,0,1.53,0
120,0,0,1.96,0,99.95,1.96,1.96,13.72,1.96,0,0,0,5.88,0,0,235.17,1.96,0,0,0,0,27.44,0,3.92,0,0
