stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,47,0,1,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,13.13,0,0,0,0.82,0.82,0,109.99,0,0,0,0
 36-46,0,0.81,0.81,4.03,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,31.42,0,0,0,0.81,0,0.81,182.08,0,0,0,0
 48-58,0,1.72,0,13.2,0,0,0,13.2,0,0,0,0.57,0,0,2.3,0,0,0,47.63,0,0,0,0.57,0,0,233.54,0,0.57,0,1.15
 60-70,0,0.98,0,37.3,0,0,0,10.8,0,0,0,0,0.98,0,7.85,0,0,0,95.21,0,0,0,1.96,0,0,278.75,0,0,0,0
 72-82,1.96,0.98,0,111.91,0,0,0,9.82,0,0,0,0,0.98,0.98,4.91,0.98,0.98,0,77.55,0,0,0,0,0,0,207.13,0,3.93,0,0
 84-94,0,1.06,1.06,75.4,0,0,1.06,8.5,1.06,0,1.06,1.06,0,0,5.31,0,0,0,38.23,0,0,1.06,1.06,0,0,101.96,1.06,0,1.06,0
 96-106,0,5.46,3.28,90.71,1.09,0,0,10.93,0,0,1.09,1.09,0,0,5.46,0,0,1.09,61.2,1.09,0,0,2.19,0,0,64.48,0,1.09,0,1.09
108-118,0,2.3,0.77,90.38,0,0,1.53,12.26,0,1.53,0,0,0,0,1.53,0,0,0,55.92,0,0,0,0,0.77,0,52.85,0,0,0,0
120,0,3.92,0,45.08,0,0,0,3.92,0,1.96,0,3.92,0,0,5.88,0,0,1.96,76.43,0,0,0,1.96,0,0,97.99,0,0,0,0
