stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,3,0,0
 24-34,0,0.82,0.82,0.82,0,0,0,0,0.82,0,0,0,4.1,0,0,0.82,7.39,2.46,0,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,0,0,4.83,0,0,0.81,4.03,0.81,0,0,0.81,0,0,1.61,0,4.03,0,0
 48-58,0,0,0,1.15,0,0,0,0,1.15,0,0,0,8.61,0,0,0.57,2.87,0,0,0,0,0,0,0,0,3.44,0,0
 60-70,0,0.98,0,0.98,0.98,0,0.98,0,0.98,0,0.98,0,16.69,0.98,0,0,1.96,0.98,0,0.98,0,0,0,0,0,3.93,0,0.98
 72-82,0,0,0,1.96,0,1.96,3.93,0,1.96,0,0,0,17.67,0,0,0.98,0.98,0,0,0,0,0,0,0.98,0.98,16.69,0.98,0
 84-94,0,2.12,0,1.06,0,1.06,0,0,2.12,1.06,0,0,8.5,0,2.12,1.06,4.25,0,0,0,0,0,0,0,0,5.31,1.06,0
 96-106,0,2.19,0,6.56,0,0,2.19,0,2.19,0,1.09,0,9.84,0,2.19,0,1.09,0,0,1.09,0,0,0,0,1.09,6.56,0,0
108-118,0,0.77,0,1.53,0,0,3.06,0,0.77,0,0,0.77,9.19,0,1.53,0,2.3,0,0,0.77,0,0,0,0,1.53,6.13,0.77,0
120,0,7.84,0,1.96,0,1.96,0,0,1.96,0,1.96,0,11.76,0,0,1.96,1.96,0,0,0,0,0,0,0,0,3.92,0,0
