stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,hatching_gland,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,12.26,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,10.51,0,2.63,5.26,0,0,23.66,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0.82,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0.98,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,2.12,0,0,1.06,0,1.06,0,0,0,0,1.06,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
