stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,8,46,16,0,20,0,0,0,8,3,1,2,0,1,0,0,0,0,35,0,0,22,297,17,3,4,9,0,3,1,57,6,6,65,114,0,0,2,0,0
 24-34,2.46,3.28,30.37,4.1,0,58.28,4.1,2.46,1.64,13.13,0.82,0,4.1,0,2.46,0,2.46,0.82,0.82,67.31,1.64,0,34.48,708.4,2.46,13.13,7.39,0,0,18.06,0,0,1.64,5.75,11.49,134.62,0,0,15.6,0,2.46
 36-46,0,0,7.25,3.22,0,167.58,11.28,2.42,2.42,24.17,0,0.81,1.61,4.03,1.61,0,1.61,0.81,1.61,74.93,0.81,1.61,18.53,843.54,0.81,8.86,5.64,0,0,24.17,0,0,4.83,2.42,4.03,175.64,0,0,9.67,0,0.81
 48-58,0,0,8.61,7.46,0,293.79,16.64,0.57,5.16,48.77,1.15,0,2.3,1.15,0,2.3,3.44,0,3.44,90.09,0,1.72,17.21,787.26,1.15,6.31,5.74,0,0.57,14.92,0,0,0,2.3,0,154.93,0,0,6.89,0,4.59
 60-70,0,0,12.76,6.87,0,443.65,13.74,4.91,1.96,63.8,1.96,0,0.98,0.98,1.96,1.96,1.96,0.98,0,124.65,1.96,9.82,18.65,855.89,0.98,2.94,7.85,0,0.98,14.72,0,0,0.98,1.96,0,108.95,0,0,14.72,2.94,4.91
 72-82,1.96,0,18.65,22.58,1.96,388.74,9.82,2.94,4.91,89.33,5.89,0,0,9.82,0.98,3.93,3.93,0.98,0.98,153.14,1.96,5.89,17.67,684.22,1.96,13.74,22.58,0,0.98,21.6,0,0,4.91,1.96,0,58.9,3.93,3.93,12.76,8.83,2.94
 84-94,0,0,27.61,25.49,0,313.3,2.12,6.37,5.31,55.23,8.5,2.12,2.12,10.62,5.31,2.12,6.37,1.06,2.12,128.51,0,5.31,12.74,392.95,3.19,5.31,29.74,0,0,56.29,0,0,4.25,1.06,0,38.23,4.25,3.19,21.24,7.43,2.12
 96-106,1.09,0,26.23,25.14,0,217.48,13.11,7.65,2.19,39.34,12.02,0,2.19,5.46,7.65,4.37,6.56,2.19,0,80.87,4.37,5.46,14.21,313.65,1.09,5.46,31.69,0,2.19,38.25,0,0,0,1.09,0,13.11,3.28,2.19,22.95,2.19,3.28
108-118,0.77,0,28.34,16.85,7.66,176.94,6.89,6.89,4.6,45.19,4.6,0,0.77,6.13,4.6,6.13,3.06,3.06,0.77,71.23,0.77,0.77,19.15,350.81,2.3,7.66,23.74,0,2.3,32.94,0,0,3.83,4.6,0,9.96,1.53,2.3,16.85,5.36,5.36
120,0,0,37.24,27.44,0,143.06,9.8,5.88,5.88,50.95,9.8,0,3.92,11.76,0,5.88,5.88,1.96,3.92,62.71,3.92,5.88,19.6,348.84,9.8,1.96,21.56,0,0,25.48,0,0,5.88,3.92,0,9.8,3.92,0,11.76,0,1.96
