stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,neural,olfactory,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,2.42,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,2.3,2.3,0,0,0
 60-70,0,0,0,0.98,0,0.98,0.98,0.98,6.87,0.98,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,20.61,2.94,0,0,0
 84-94,0,0,0,3.19,1.06,0,0,0,6.37,1.06,1.06,0,1.06
 96-106,0,0,1.09,3.28,0,1.09,0,0,9.84,0,0,0,0
108-118,0,0,0,2.3,0,0.77,0,0,6.89,0.77,2.3,0.77,0
120,0,0,0,0,0,0,0,0,7.84,1.96,0,0,0
