stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,619.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,4,5,0,94,0,0,0,1,16,13,5,21,0,0,0,0,23,1,0,22,75,0,0,4,1,0,0,1,9,68,166,12,0,0,0,0,0
 24-34,0,0,1.64,0.82,3.28,4.93,0,244.62,5.75,0.82,0.82,8.21,0,7.39,17.24,61.56,0,0.82,0,0,9.03,9.85,0,9.03,216.71,0,5.75,5.75,0.82,0,1.64,0,21.34,33.66,115.74,75.52,0,0,8.21,0,0
 36-46,0,0,0.81,0,0.81,0.81,0,160.33,5.64,0.81,0,12.89,1.61,4.83,37.06,20.95,0,0,0,0,4.03,2.42,0.81,4.83,231.23,0,8.86,5.64,0.81,0,0,0,22.56,18.53,8.86,94.26,0,0,4.83,0,0
 48-58,0,0,0.57,0.57,4.02,0.57,0,169.85,8.61,0.57,0,26.4,4.59,2.87,37.87,12.62,0.57,2.3,1.15,0,5.16,0,1.15,2.87,149.19,0.57,5.74,3.44,0,0,0.57,0,22.95,8.03,0,65.41,0,0.57,5.16,0,0.57
 60-70,0,0,1.96,0,6.87,4.91,0,437.76,8.83,0.98,0.98,89.32,6.87,6.87,52.02,12.76,0.98,1.96,0,0,16.69,0,1.96,6.87,161.95,0,3.93,3.93,0,0.98,0.98,0,19.63,5.89,0,42.21,0,0,6.87,0,0
 72-82,0,0,5.89,0,17.67,8.83,0,784.35,10.8,0,1.96,283.7,32.39,3.93,82.46,26.5,1.96,5.89,2.94,0,22.58,1.96,2.94,3.93,156.08,0.98,6.87,5.89,0,0.98,1.96,0.98,35.34,1.96,0,20.61,1.96,1.96,25.52,2.94,0
 84-94,0,0,10.62,0,13.81,4.25,0,678.64,9.56,2.12,0,198.6,32.92,2.12,118.95,69.03,1.06,1.06,7.43,0,21.24,1.06,1.06,4.25,75.4,0,9.56,6.37,0,1.06,6.37,0,53.1,7.43,0,12.74,18.05,2.12,13.81,3.19,2.12
 96-106,0,0,3.28,0,37.16,8.74,1.09,762.81,18.58,3.28,4.37,246.98,40.44,2.19,144.26,59.01,1.09,8.74,7.65,4.37,25.14,5.46,5.46,7.65,145.35,1.09,9.84,3.28,0,5.46,10.93,0,77.59,10.93,0,8.74,76.5,4.37,25.14,5.46,0
108-118,0,0,3.83,0.77,41.36,9.96,2.3,606.64,22.98,0,0.77,238.98,35.23,5.36,105.7,58.98,6.89,4.6,13.02,3.06,21.45,4.6,3.83,13.79,127.92,0,6.13,6.13,0.77,6.89,6.89,0,56.68,24.51,0,16.09,103.41,0.77,20.68,5.36,0.77
120,0,0,1.96,0,39.2,3.92,0,693.76,23.52,0,3.92,201.86,70.55,1.96,190.1,35.28,0,7.84,3.92,1.96,27.44,1.96,3.92,9.8,170.5,0,13.72,5.88,0,3.92,5.88,0,41.16,9.8,0,7.84,33.32,3.92,13.72,11.76,0
