stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,3,0,0,0,0,0,0,0,0,54,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0
 24-34,0,4.93,0,4.93,0,0,0.82,0,0,0,0,0,103.43,0,2.46,0,0,9.03,0,44.33,0,0.82,0.82,0,4.1,0,0,0,0.82,2.46,0,0,0,0
 36-46,0,4.83,0,0.81,0,0,0.81,0.81,0.81,0,2.42,0,46.73,0,3.22,0,1.61,6.45,2.42,100.71,0.81,0.81,0,0,2.42,0,0,0,0,1.61,0,0,0,0
 48-58,0,2.3,0,2.87,0,0,1.72,1.15,1.15,0,7.46,0,15.49,0,2.3,0,2.87,8.03,0,41.31,0,0,0.57,0,4.02,0,0,0,0,1.15,0,0,0,0
 60-70,0,6.87,0,4.91,0,0,3.93,0,2.94,5.89,1.96,1.96,24.54,0,3.93,0.98,0.98,9.82,0,25.52,0,0,0,0,4.91,0,0,0,0,0.98,2.94,0,0,0.98
 72-82,0,40.25,0,6.87,0,0,1.96,0,4.91,41.23,2.94,0,47.12,0,8.83,0,2.94,29.45,0,45.16,0,1.96,0,0,0.98,0,0,0,0,0,14.72,0,0,0
 84-94,0,33.99,1.06,7.43,1.06,0,4.25,2.12,0,46.73,4.25,0,42.48,0,6.37,0,0,18.05,0,30.8,0,2.12,3.19,0,7.43,0,1.06,0,0,1.06,50.98,1.06,0,0
 96-106,0,41.53,0,33.88,0,0,2.19,1.09,3.28,75.41,1.09,2.19,85.24,0,15.3,1.09,4.37,26.23,0,27.32,0,3.28,5.46,0,12.02,1.09,0,0,0,0,102.73,0,1.09,1.09
108-118,0,25.28,0.77,30.64,0,0.77,1.53,0.77,3.83,64.34,0,2.3,57.45,0.77,6.13,0.77,0.77,18.38,1.53,18.38,0,1.53,3.06,0,10.72,0,0,0.77,0,0,121.79,0,0,0
120,0,15.68,0,25.48,0,0,0,0,3.92,52.91,0,7.84,35.28,0,3.92,3.92,1.96,15.68,0,33.32,0,1.96,0,0,9.8,0,0,0,0,0,41.16,0,0,0
