stage,blastomeres,eye,glial,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,2.46,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,4.02,0.57,0,1.15,0,0,1.15,0,0,0,0
 60-70,0,0.98,0.98,1.96,0,0.98,1.96,0.98,0.98,2.94,0,0.98,0,0
 72-82,0,1.96,0,3.93,0,0.98,6.87,0,0.98,3.93,0,0,0,0
 84-94,0,0,0,10.62,0,0,1.06,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,6.56,0,0,1.09,0,0,0,0,1.09,0,1.09
108-118,0,0,0.77,9.96,0,1.53,0,0,0,0.77,0,0,0,0
120,0,1.96,0,13.72,0,0,0,0,0,1.96,0,0,0,0
