stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,52.71,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,18.39,269.7,0,0,0,0,0,12.26,0,0,0,0,18.39,0,0,6.13,12.26,0,0,0,0,0
  7-9,0,2.63,18.4,0,0,28.92,0,15.77,0,0,0,0,184.01,5.26,0,60.46,0,5.26,0,0,0,0
 10-12,0,3.15,0,0,0,12.59,0,3.15,0,0,0,0,141.61,0,0,56.65,3.15,3.15,0,3.15,0,0
 14-21,0,0,1,2,1,3,1,0,0,0,2,1,36,1,0,0,0,0,6,0,2,4
 24-34,0,0,0,3.28,0,5.75,2.46,0,0.82,0,1.64,3.28,62.39,0,0,0,0.82,0,0,0,0,13.13
 36-46,0,0,0,0.81,0,9.67,0.81,0,0,0,4.03,1.61,29,0.81,0,0,0.81,0,0.81,0,0,9.67
 48-58,0,0,0,0.57,0,9.18,0.57,0,0,0,2.3,0,12.05,0,0.57,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,12.76,0,0,0,0,0.98,0,11.78,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,2.94,0,0,0,0.98,2.94,0,5.89,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,6.37,0,0,0,0,2.12,1.06,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,2.3,0.77,0,0,0,0.77,0.77,3.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,7.84,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
