stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,3,3,0,0,0,0,1,4,0,2,2,0,0,0,0,0
 24-34,0,1.64,0.82,0,0,0,0,0,2.46,0,0.82,1.64,0.82,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,2.94,0,0.98,0.98,0,0.98,0,0,0,0,0
 72-82,0.98,0,0,0,0,0,4.91,0,0,0,0,2.94,0,0,0,0,0
 84-94,1.06,0,0,1.06,0,0,11.68,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,2.19,0,1.09,0,0,10.93,0,2.19,0,0,5.46,0,0,1.09,0,0
108-118,0,0.77,0,0,0.77,0,17.62,0,0,0,0,1.53,0,0,0,0,0.77
120,0,0,0,0,0,0,21.56,0,0,0,0,3.92,0,0,0,0,0
