stage,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,1,4,0,0,0
 24-34,0.82,0,0,3.28,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,4.03,0,0.81,0,0,0,0,2.42,0,0,20.14,0.81,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,7.46,0.57,0,0,0,0,0,1.15,0,0,10.9,0,0.57,0,0,0,0,0,0.57,0,0
 60-70,0,0.98,0,9.82,0.98,0,0,0.98,0.98,0.98,3.93,0,0,9.82,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,7.85,0,0,0,0,0,0,0.98,0.98,0.98,6.87,0,0,0,0,0.98,0,3.93,0,0,0
 84-94,0,0,1.06,6.37,0,0,3.19,0,1.06,0,2.12,0,0,6.37,0,0,0,0,2.12,0,0,0,2.12,0
 96-106,0,0,0,1.09,0,0,1.09,0,1.09,0,1.09,0,0,2.19,0,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0.77,0,4.6,0.77,0,0.77,0,0,0,2.3,0,0,4.6,0,0,0,0,1.53,0,0,0,0.77,0.77
120,0,3.92,1.96,1.96,0,0,1.96,0,0,0,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0,0
