stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,5.75,0,0,0,1.64,4.1,0,0,0,0.82
 36-46,0,0,0,1.61,0,0,0,0,0,0,2.42,0,0,0,0,3.22,0,0.81,0.81,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,3.44,0,0,0,0,4.02,0,0,1.15,0
 60-70,0,0.98,0,3.93,0,0,0,0.98,0,0,7.85,0,0,0,0,7.85,0,0,1.96,0
 72-82,0,0,0,0.98,0,0,0,0,0.98,0,6.87,0,0.98,0,0,6.87,0,0,0,0.98
 84-94,0,1.06,0,0,0,0,0,0,0,0,2.12,0,0,0,0,3.19,0,0,0,1.06
 96-106,1.09,5.46,0,2.19,0,1.09,1.09,1.09,0,1.09,15.3,0,1.09,0,1.09,6.56,1.09,2.19,0,0
108-118,0,0,0.77,2.3,0.77,0,0.77,0,0,0,11.49,0.77,1.53,0.77,0,4.6,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,5.88,0,1.96,0,0
