stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,42.06,0,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,0,0,25.18,0,0,0,0,0,0,0,0,0,40.91,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,14,0,0,0,0,0,0,114,0,0,1,0,1,2,120,0,0,0
 24-34,0,0.82,0,2.46,0.82,0,8.21,0,0,0,0,1.64,0,175.66,0,0,0,0,0,0,73.06,0,0,0
 36-46,0,0,0,3.22,0,0,20.95,0,0,0,0,0.81,0,335.96,0,0,0,0,0,0,86.21,0,0,0
 48-58,0,1.15,0.57,26.4,0.57,0,53.94,0,0,0.57,0.57,1.15,0.57,249.61,0,0,0,0,0,0,55.66,0,0,0.57
 60-70,0,0,0,54.97,0,0,96.19,0,0,0,0,0.98,0.98,254.21,0,0,0,0,0,0,33.37,0,0,0
 72-82,0,7.85,0,83.44,0.98,0,120.74,0,0.98,0.98,0.98,6.87,1.96,265.05,0.98,1.96,0,2.94,0,0,16.69,0.98,1.96,0.98
 84-94,0,0,0,38.23,0,0,49.92,1.06,0,1.06,0,1.06,0,139.13,0,0,0,1.06,0,0,12.74,1.06,0,0
 96-106,0,2.19,2.19,26.23,0,1.09,39.34,0,0,0,0,1.09,0,78.68,1.09,0,0,1.09,0,0,2.19,3.28,0,0
108-118,0,1.53,0,17.62,0,0,36.77,0,0,0,0,1.53,0,118.72,0.77,0,0,0,0,0,0.77,2.3,0,0
120,0,0,0,13.72,0,0,19.6,0,0,0,0,0,0,66.63,0,0,0,1.96,0,0,1.96,0,0,0
