stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,25.18,0,0,0,0,0,0,0,0
 14-21,1,6,2,1,0,0,0,0,0,0,0,0,0,4,0,4,11,1,0,0,0,0,0,5,0,5,9,0,0
 24-34,0.82,2.46,0,4.1,0,0,0,0,0,0,0,0,0.82,1.64,0,1.64,22.16,0,0.82,0.82,0,0,2.46,0,0,0.82,3.28,0,0
 36-46,0,0.81,0,8.06,0,0,1.61,0,0,0,0,0,0,2.42,0,3.22,14.5,0,0,0.81,0,0.81,0.81,0,0,0,7.25,0,0
 48-58,0,0.57,0,25.25,0,0,1.15,0,0,0,0,0,0,5.16,1.15,0.57,17.21,0,0,0.57,0,0,0,0,0,0,6.31,0,0
 60-70,0,0,0,91.28,0,0,1.96,0,0,0,0,0,0,8.83,0,2.94,33.37,0.98,0.98,0,0,0,0.98,0,0,0,1.96,0.98,0
 72-82,0,0.98,2.94,72.64,0,0,3.93,0,0.98,0.98,0,0,0,13.74,0,1.96,40.25,0,0,0,0,0,0.98,0,0,0,3.93,0.98,0
 84-94,0,1.06,1.06,39.3,0,0,6.37,0,0,0,1.06,0,0,7.43,0,2.12,23.36,0,1.06,0,0,0,1.06,0,0,0,4.25,0,1.06
 96-106,0,2.19,1.09,27.32,1.09,1.09,3.28,0,0,0,0,0,0,6.56,0,1.09,17.49,0,1.09,0,0,0,0,0,1.09,0,0,0,0
108-118,0,2.3,0.77,17.62,0,0.77,3.83,0,0.77,0,0,0.77,0,7.66,0,0,16.09,0,0,0.77,0,0,0.77,0,0,0,0,0.77,0.77
120,0,0,0,9.8,0,0,3.92,1.96,0,0,0,0,1.96,5.88,0,3.92,9.8,0,0,0,0,0,1.96,0,0,0,0,0,0
