stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,2,87,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,9.85,0,0.82,0,1.64,0,0,0,0,0,0,0,6.57,0,0,4.93,756.83,0,4.93,0,0.82,0.82,0,199.47,0,0,0,0
 36-46,0,0,0,0,1.61,0,41.89,0,0,0.81,16.11,0,0.81,0,0,0,0,0,14.5,0.81,0,4.03,1645.98,0,8.86,1.61,0,0,0,346.44,0,0.81,0,1.61
 48-58,0,0,0,0,3.44,0,133.12,0,0,0.57,30.99,0,0,0,0,0.57,0,0.57,11.48,0,0.57,3.44,1413.28,0.57,3.44,0,0,0.57,0,304.69,0,0,0,1.72
 60-70,0,0,1.96,0,0.98,0,222.81,0,0,0,63.8,0,0,0,0,0,0,0,13.74,0,0,0.98,1206.29,0.98,4.91,1.96,0,0,0,258.14,0,1.96,0.98,0
 72-82,0,0,0,0,1.96,1.96,189.46,0,0,0.98,64.79,0.98,0,0.98,0,0,0,0,10.8,0,0,0.98,813.8,0,2.94,0.98,0,0,0,97.18,1.96,0.98,1.96,0.98
 84-94,0,0,0,0,4.25,0,149.75,2.12,1.06,0,61.6,1.06,0,0,1.06,2.12,1.06,1.06,14.87,0,1.06,2.12,387.64,0,3.19,0,1.06,0,0,53.1,0,1.06,0,0
 96-106,0,0,0,0,4.37,0,84.15,0,0,0,46.99,0,0,0,0,0,1.09,0,10.93,0,0,0,281.95,0,2.19,2.19,0,0,0,31.69,0,0,0,0
108-118,0,0,0,0,6.89,0,52.09,0,0,0.77,33.7,0,0,0,0,0,1.53,0,15.32,0,0.77,0,268.09,0,3.83,0,0,0,0,13.02,0,0,0,0
120,0,0,0,0,5.88,0,56.83,0,0,0,50.95,0,0,0,0,0,0,1.96,0,0,0,1.96,299.85,0,0,0,0,0,0,5.88,0,0,1.96,0
