stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,30.65,386.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,5.26,0,0,0,23.66,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,178.75,7.89,0,0,55.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.2,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,14,2,0,8,0,1,0,6,0,1,0,0,1,0,0,0,6,0,9,169,1,0,0,6,0,0,12,0,19,46,0,0,2,0
 24-34,0,0,0,0,3.28,0,0,27.91,0,0.82,0.82,4.1,0.82,0,1.64,0,0,0,0,0,13.95,0.82,9.03,132.16,0,0,2.46,0,1.64,3.28,0,0,1.64,31.19,0,0,1.64,0
 36-46,0,0,0,0,1.61,0,0,27.39,0,0,0,3.22,0,0,0.81,0.81,0,0,0,0.81,11.28,1.61,2.42,70.09,0,0,0.81,0,0,1.61,0,0.81,0,12.09,0,0,1.61,0
 48-58,0,0,0,0,1.72,0,0,28.12,0,0.57,0,5.74,0,0,0,0,0,0,1.15,0,8.61,0,2.3,40.74,0,0,0.57,0,0,0,0,0,0,8.03,0,0,1.15,0
 60-70,0,0,0,0,3.93,0,0,15.7,0,0,0.98,3.93,0.98,0,0,0,0,0,0.98,0.98,9.82,0,2.94,23.56,0.98,0.98,0,0,0,1.96,0,0.98,0,1.96,0,0,1.96,0
 72-82,0,0,0,0,0.98,0,0,8.83,0.98,0,0,7.85,0.98,0,0.98,0,0.98,0,0,0,12.76,0,2.94,20.61,0,0.98,0,0,0,0.98,0,0,0,1.96,0.98,0,0.98,0
 84-94,0,0,0,0,6.37,0,1.06,8.5,0,0,0,4.25,2.12,0,0,0,1.06,1.06,0,0,13.81,1.06,0,13.81,0,1.06,0,0,0,2.12,0,0,0,1.06,1.06,1.06,1.06,2.12
 96-106,0,0,0,0,0,0,0,4.37,0,0,1.09,7.65,0,0,1.09,0,0,0,0,0,12.02,0,2.19,13.11,0,0,0,0,0,2.19,0,1.09,0,0,0,0,2.19,0
108-118,0,0,0,0.77,3.83,0,0,9.19,0,0,1.53,4.6,0,0,0,0,0,0.77,0,0.77,6.89,1.53,0.77,13.79,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,1.96,0,3.92,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0,0,0,11.76,0,5.88,27.44,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
