stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,47,5,0,0,3,1,0,23,5,0,0,2,0,28,5,0,0,7,17,9,2,75,0,0
 24-34,4.1,3.28,2.46,0,1.64,0,0,70.59,2.46,0,0.82,2.46,2.46,21.34,0,0,0,0,11.49,0,1.64,12.31,1.64,0.82
 36-46,1.61,0,0.81,0,0,0,0,83.79,0,0,0,0.81,0,16.92,0,0,0,0,10.47,0,0,2.42,0.81,0
 48-58,0,0,2.87,0,0.57,0,0.57,61.4,0,0,0,1.15,0,4.59,0,0,0,0,1.15,0,0,0.57,0.57,0.57
 60-70,0,0,1.96,0,1.96,0.98,0,57.91,0,0.98,0,1.96,0,5.89,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0.98,64.79,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,78.59,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0
 96-106,1.09,2.19,1.09,1.09,0,0,0,99.45,0,1.09,0,2.19,0,8.74,0,1.09,1.09,0,1.09,0,0,0,2.19,0
108-118,0.77,1.53,3.83,0,0.77,0,0,72,0.77,0,0,2.3,0,7.66,0,0.77,0,0,0.77,0,0,0.77,2.3,0.77
120,0,0,1.96,0,1.96,1.96,0,113.67,0,0,0,1.96,0,1.96,1.96,0,0,0,3.92,0,0,0,7.84,0
