stage,epidermis,erythrocytes,eye,gut,immune,liver,mesenchyme,mural_cell,neural,periderm,pronephros,taste
 14-21,0,0,0,0,11,0,0,0,0,0,0,0
 24-34,0,0,0,0,13.95,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,20.14,0,0,0,1.61,0,0,0
 48-58,0.57,0,1.15,0,30.99,0.57,0,0.57,0,0,1.72,0
 60-70,0,0,0,0,26.5,0,0,0,0,0,3.93,0
 72-82,0,0,0.98,0,51.05,0,0,0,2.94,0,10.8,0
 84-94,0,0,0,0,71.16,1.06,0,0,0,1.06,23.36,1.06
 96-106,0,1.09,1.09,0,83.06,0,2.19,0,3.28,0,14.21,0
108-118,0.77,0,2.3,0.77,61.28,0,1.53,0,3.06,0,6.89,0
120,0,0,0,0,60.75,0,0,0,0,0,5.88,0
