stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,0,12.59,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,645.13,6.29,0,0,40.91,0,9.44,0,3.15,0,0,12.59,0,0,0,0
 14-21,0,0,1,8,1326,5,0,36,0,29,0,83,24,1,1,0,2,1,2,0,2,50,10,0,28,1479,28,50,62,24,0,467,42,10,1,37,1253,0,4,0,1
 24-34,0,0,0,0.82,261.85,0.82,0,18.06,0,101.79,8.21,71.41,6.57,0,0.82,0,4.93,0,2.46,0.82,0.82,18.88,8.21,0,9.03,1594.1,1.64,114.1,4.1,0,0,138.72,0,0,0.82,9.85,918.54,0,4.93,0,1.64
 36-46,0,0,0,0.81,75.73,0,0,17.72,0.81,85.4,18.53,66.87,5.64,0,0,0,0,0,0.81,0.81,0.81,16.92,2.42,0.81,4.83,1106.18,2.42,54.79,2.42,0,0,155.49,0,0,0,0,604.25,0,2.42,0,0.81
 48-58,0,0,0,0,26.97,0,0,26.97,0.57,114.19,15.49,110.74,1.15,0.57,0,0.57,0.57,0,0,0,0.57,17.21,0,0.57,5.16,460.19,0,36.15,0.57,0,0,103.28,0,0,0.57,0,419.45,0,0.57,0,1.15
 60-70,0,0,0,0,27.48,0,0,17.67,0,94.23,22.58,111.89,3.93,0,0,0,0,0,0,0,0.98,10.8,1.96,0,1.96,196.3,0.98,35.33,0,0,0,192.38,0,0,0,0,174.71,0,0,0,0.98
 72-82,0,0,0,0,17.67,2.94,0,41.23,0,115.84,31.41,133.51,2.94,0,0,0.98,0,0,0,0,0,7.85,1.96,0,2.94,163.94,0,48.1,1.96,0.98,0,226.76,0,0,0,0,51.05,0,0.98,1.96,0
 84-94,0,0,0,0,57.35,2.12,0,27.61,0,243.21,23.36,87.09,9.56,0,0,0,2.12,2.12,0,1.06,0,9.56,1.06,2.12,1.06,88.15,1.06,124.26,2.12,0,0,471.54,0,1.06,0,0,43.54,1.06,0,0,0
 96-106,0,0,0,0,66.66,3.28,1.09,32.79,0,243.7,16.39,87.43,13.11,0,0,0,3.28,0,0,2.19,0,13.11,10.93,0,3.28,97.26,0,179.23,3.28,0,1.09,648.06,0,1.09,1.09,0,20.76,1.09,2.19,2.19,0
108-118,0,0,0,0,55.92,5.36,0,16.85,0.77,339.32,16.09,62.81,17.62,0,0,0,9.96,1.53,0.77,0,0.77,8.43,12.26,1.53,0.77,108,0.77,125.62,4.6,0,0.77,623.49,0,1.53,0,0,6.13,0,1.53,0.77,0
120,0,0,0,0,62.71,1.96,0,3.92,0,209.7,9.8,39.2,11.76,0,0,0,1.96,0,0,0,0,7.84,3.92,0,5.88,94.07,0,64.67,0,0,0,317.49,0,0,0,0,5.88,1.96,0,0,0
