stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,118.6,3096.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0
  5-6,147.11,3610.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.59,30.65,0,0,42.91,0,36.78,0,0,0,0,0,0,0,0
  7-9,42.06,60.46,0,134.06,0,0,0,136.69,0,0,0,0,81.49,0,0,0,0,0,0,0,0,0,0,1706.03,68.35,0,0,601.98,0,5.26,5.26,0,0,0,0,0,0,0
 10-12,0,25.18,0,125.88,0,3.15,0,84.97,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,739.54,6.29,0,0,135.32,0,0,3.15,0,28.32,0,3.15,0,0,0
 14-21,0,0,2,8,109,5,0,5,2,0,7,10,0,1,0,2,0,0,0,19,1,0,7,53,3,4,9,4,0,0,1,11,11,10,21,0,1,0
 24-34,0,0,1.64,8.21,46.79,0.82,0,4.1,4.1,0,1.64,5.75,0,0.82,0,8.21,0,4.93,1.64,5.75,0,0.82,1.64,49.25,1.64,16.42,13.95,0,0,10.67,0,0,9.03,4.93,4.1,0,0.82,0
 36-46,0,0,0,0,16.92,0,0,4.03,4.83,0,5.64,2.42,0,0,0,1.61,0,2.42,2.42,8.86,0,0,0,45.12,0,12.09,4.83,0,0,7.25,0,0,7.25,0,5.64,0,0,0
 48-58,0,0,1.15,0.57,8.03,0,0,5.74,4.02,0,2.87,6.89,0.57,0,0,0,0,4.59,1.15,6.31,0.57,0.57,0,18.36,0.57,2.87,6.89,0,0,5.74,0,0,4.59,0,1.72,0,0.57,0
 60-70,0,0,0.98,0,23.56,0,0,17.67,6.87,0.98,2.94,19.63,0,0,0.98,1.96,0,8.83,1.96,2.94,0.98,1.96,0,14.72,0,7.85,8.83,0,0,8.83,0,0,3.93,0,1.96,0,0,0
 72-82,0,0,7.85,0,19.63,0,0,14.72,2.94,0,3.93,36.32,0,0,0,2.94,0,4.91,0.98,3.93,1.96,0,0,11.78,0,5.89,6.87,0,0,9.82,0,0,10.8,0,0.98,5.89,0,0
 84-94,0,0,3.19,0,24.43,1.06,0,10.62,5.31,0,4.25,43.54,0,0,0,10.62,0,2.12,1.06,3.19,2.12,1.06,0,7.43,1.06,11.68,11.68,0,0,19.12,0,0,10.62,0,1.06,2.12,0,0
 96-106,0,0,4.37,0,40.44,1.09,2.19,5.46,1.09,0,2.19,46.99,0,0,1.09,4.37,1.09,6.56,4.37,3.28,3.28,0,0,19.67,0,9.84,9.84,0,1.09,13.11,0,0,22.95,0,1.09,4.37,0,1.09
108-118,0,0,1.53,0,44.43,0.77,1.53,6.89,8.43,0.77,2.3,42.13,0,0,0,5.36,0,5.36,3.83,4.6,2.3,0.77,1.53,13.79,0,6.13,9.19,0,0,9.96,0,0,13.02,0,1.53,7.66,0,0
120,0,0,3.92,0,15.68,0,0,9.8,5.88,0,0,48.99,0,0,0,7.84,0,1.96,3.92,3.92,1.96,1.96,0,19.6,0,11.76,5.88,0,0,15.68,0,0,15.68,0,0,1.96,0,0
