stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,2,0,0,0,0,0,0,0,0
 24-34,0.82,0.82,0.82,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,0,76.34,2.46,0,0,0,0,0,0.82,23.8,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0,0,0,133.74,0.81,0,0,1.61,0,0,0,45.92,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,5.16,0,0,0,1.15,0,0.57,0,0,1.72,0,1.15,0,0.57,117.06,1.15,0,0,0,0,0,0,26.4,0,0,0,0,0.57
 60-70,0,0,0,0,0,16.69,0,0,0,0,0,0,0.98,0,9.82,0,2.94,0,0,136.43,0,0,0,0,0,0,0,27.48,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,38.28,0,0.98,0.98,8.83,0,0,0,0.98,9.82,0,1.96,0,1.96,183.57,0.98,0,0,0,0,0,0,49.08,0,0,0.98,0.98,0
 84-94,0,0,0,0,1.06,27.61,0,0,0,2.12,0,0,2.12,0,15.93,0,4.25,0,1.06,99.83,0,0,0,2.12,0,1.06,0,14.87,0,0,0,0,0
 96-106,0,0,0,2.19,0,37.16,0,0,0,20.76,0,1.09,3.28,0,17.49,1.09,12.02,1.09,1.09,132.23,1.09,0,0,4.37,0,1.09,0,16.39,1.09,1.09,1.09,0,0
108-118,0,0,0,1.53,0.77,54.38,0,0.77,0,17.62,0,0,0.77,0,14.55,1.53,4.6,0,0.77,147.83,0.77,1.53,0,0.77,0,1.53,0,12.26,0.77,0,0.77,0,0.77
120,0,0,0,1.96,0,27.44,0,0,1.96,23.52,1.96,0,1.96,0,3.92,0,3.92,0,0,152.86,0,0,0,3.92,0,0,0,9.8,0,0,0,0,0
