stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3,1,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,2,0,0,0,41,0,0,0,0
 24-34,0,0,9.03,1.64,0,0,1.64,0,0,0,4.93,0,0.82,0,10.67,0,0,0,0,5.75,0,0,0,59.92,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,5.64,0,0,0,12.89,0,0.81,0,0,3.22,0,0,0.81,49.95,0.81,0,0,0
 48-58,0.57,0,0.57,0,0,0,2.87,0,0,0.57,4.02,0,0,0,16.07,0,1.15,0.57,0,6.31,0,0,0.57,27.54,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0.98,13.74,0,0,0,31.41,0.98,0,0,0,2.94,0,0,0,32.39,0,0,0,0
 72-82,0,0.98,0,0,1.96,0,10.8,0,0,1.96,53.99,0,0,0,56.94,0,3.93,0,0,13.74,0.98,0,0.98,53.01,0,0.98,0,0.98
 84-94,0,0,3.19,3.19,0,3.19,6.37,0,0,0,77.53,0,1.06,1.06,150.81,0,1.06,0,0,5.31,0,0,1.06,93.46,0,1.06,0,0
 96-106,0,1.09,0,3.28,6.56,1.09,8.74,0,1.09,1.09,134.42,0,0,0,144.26,0,9.84,0,0,31.69,0,1.09,3.28,107.1,1.09,0,0,0
108-118,0,0,2.3,1.53,1.53,3.06,9.19,0.77,0.77,1.53,248.94,0.77,0,0,175.41,0,9.19,0,0.77,32.94,0,0,3.83,84.26,0.77,0,0.77,0.77
120,0,0,0,0,1.96,3.92,3.92,0,0,1.96,135.23,1.96,3.92,0,92.11,0,7.84,0,0,29.4,0,1.96,3.92,47.03,0,0,0,0
