stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,0,0,13.14,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,1,5,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28,0,1.61,4.83,1.61,0,0,0,0,0,0,0.81,0,1.61,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,1.15,0,0.57,0,0,0,0,0,5.16,0,0.57,7.46,0.57,0,0,0,0,0,0,0,0,6.31,0,0,0,0,0
 60-70,0,0,0,0,0,4.91,0,0,0,0,0,0.98,0,12.76,0,0.98,15.7,0.98,0,0,0,0,0,0,0,0,2.94,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,7.85,0,2.94,0.98,0.98,0,0.98,0,22.58,1.96,1.96,14.72,1.96,0,0,0,0,0,0,0,0,4.91,0.98,1.96,0.98,1.96,0.98
 84-94,1.06,0,0,2.12,0,1.06,1.06,0,1.06,0,0,0,0,11.68,0,2.12,12.74,0,0,0,1.06,0,0,0,0,0,5.31,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,1.09,0,2.19,0,1.09,0,0,0,7.65,1.09,0,15.3,0,1.09,0,0,0,0,0,0,0,3.28,0,0,1.09,2.19,0
108-118,0,0,0.77,1.53,0,5.36,0.77,0,1.53,0,0.77,0,0,15.32,1.53,2.3,18.38,0,0,0,1.53,0,0,0.77,0,0,2.3,0,0,0,1.53,0
120,0,0,0,1.96,0,11.76,0,1.96,0,0,0,0,0,13.72,0,5.88,29.4,1.96,1.96,0,1.96,0,0,0,0,0,3.92,0,3.92,1.96,5.88,0
