stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,4,0,0,0,0
 24-34,0,0.82,1.64,0,3.28,0,9.03,0,0,2.46,0
 36-46,0,0,1.61,0.81,0.81,0,6.45,0,0.81,0.81,0.81
 48-58,0,0,2.3,1.15,0,0.57,6.89,0,0,0.57,0
 60-70,0,0,0.98,0.98,0,0,2.94,0.98,0,0.98,0
 72-82,0,0,1.96,0,0.98,0,6.87,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,2.12,0,1.06,0,0
 96-106,0,0,2.19,1.09,0,0,3.28,0,1.09,0,0
108-118,0,0,0,1.53,0,0,3.06,0,0,0,0
120,0,0,1.96,0,0,0,3.92,1.96,0,0,0
