stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,15.31,0,0,0,0,2.42,0
 48-58,0,0,0,0,1.72,0,0,0,0,1.15,0,19.51,0.57,0,0,0,2.87,0
 60-70,0,0,0,0,5.89,0,0.98,0,0,0,0,40.24,0,0,0,0,2.94,0
 72-82,0,0,0,0.98,6.87,0,0.98,0,0,0.98,0,56.94,0.98,0.98,0,0,0.98,0.98
 84-94,0,0,0,0,5.31,0,1.06,0,1.06,0,0,23.36,0,0,0,1.06,0,0
 96-106,0,0,1.09,0,3.28,0,1.09,0,0,2.19,0,34.97,2.19,0,0,2.19,0,0
108-118,0,0,0,0,3.83,0,1.53,0.77,0,0.77,0.77,29.11,0,0,0,0,0,0
120,0,0,0,1.96,5.88,1.96,0,0,0,0,0,48.99,0,0,0,0,1.96,0
