stage,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,otic,pericytes,periderm,pronephros,spinal_cord
 14-21,1,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,9.03,0.82,0,0,0,2.46
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,1.61,0,0.81,8.06,0,0,0,0,2.42
 48-58,0,0,0,0.57,0,0,0,1.15,0,0,0.57,0,0.57,15.49,0,0,0,1.15,2.3
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,0.98,0,0,22.58,0,0,0,0.98,2.94
 72-82,0,0,0,2.94,0,0,0.98,0,0,0,0.98,0.98,1.96,26.5,1.96,0,0,0,0.98
 84-94,0,0,0,4.25,0,0,0,2.12,0,1.06,5.31,0,0,10.62,1.06,0,0,0,2.12
 96-106,0,0,0,0,0,1.09,0,3.28,1.09,0,2.19,0,0,5.46,0,0,0,0,1.09
108-118,0,0,0.77,1.53,0,0,0,3.06,0.77,0,0,0,0,6.13,0.77,0.77,0.77,0,0.77
120,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,21.56,5.88,0,0,0,0
