stage,axial,blastomeres,endoderm,erythrocytes,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,128.72,0,0,18.39,0,0,61.3,0,0,18.39,6.13,0,0,0
  7-9,26.29,10.51,10.51,0,10.51,0,0,15.77,10.51,0,107.78,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,15.73,12.59,0,53.5,3.15,0,0,0
 14-21,0,0,0,1,0,0,1,0,1,0,0,0,1,2,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,1.53,0,0,0,0,0,0,0
