stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,197.67,2767.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0
  5-6,251.32,2972.87,6.13,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,116.46,6.13,0,0,24.52,55.17,0,0,0,0,0,0,0,0
  7-9,34.17,7.89,52.57,0,0,97.26,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,998.91,31.54,0,0,270.76,0,2.63,0,0,0,0,0,0,0
 10-12,0,25.18,18.88,0,3.15,94.41,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,717.51,25.18,0,0,264.35,3.15,0,0,12.59,6.29,0,0,0,0
 14-21,0,0,1,17,3,10,1,0,4,1,0,0,0,1,0,0,0,13,0,7,171,1,0,0,2,1,0,18,0,8,40,0,2,0
 24-34,0,0,0,4.1,0,24.63,0.82,0,1.64,0,0,0.82,0,0,0.82,0.82,0.82,13.13,0,3.28,201.11,0.82,1.64,0.82,0,1.64,0,0,0,0.82,28.73,0,1.64,1.64
 36-46,0,0,0,0.81,0,37.06,0,0,3.22,0,0,0,0,0,0,0,0,11.28,0,0.81,91.85,0,0.81,1.61,0,0,0,0,0,0,23.36,0,0.81,0
 48-58,0,0,0,1.72,0,32.71,0,0,4.59,0,0,0,0,0,0,0,0,12.62,0.57,4.02,37.87,0,0.57,0.57,0,0.57,0,0,0.57,0,10.9,0,1.15,0
 60-70,0,0,0,0,0,21.59,0,0,5.89,0.98,0,0,0,0,0,0,0,11.78,0.98,0.98,14.72,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,7.85,0,0,5.89,0,0,0,0,0,0,0,0,22.58,0,0.98,19.63,0,0,1.96,0,0,0,0,0,0,2.94,0.98,1.96,0
 84-94,0,0,0,0,0,4.25,1.06,0,6.37,0,0,0,1.06,0,0,0,0,3.19,1.06,1.06,13.81,0,0,0,0,2.12,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,0,0,4.37,0,1.09,6.56,0,0,0,0,0,1.09,0,0,4.37,0,2.19,10.93,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,1.53,0.77,3.06,0,0,2.3,0,0,0,0,0,0.77,0,0,6.13,0,1.53,9.96,0,0.77,1.53,0,0.77,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,11.76,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,3.92,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0
