stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1238.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0
  5-6,30.65,453.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,63.09,10.51,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,6.29,0,0,66.09,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,32,2,1,1,0,0,0,4,1,4,14,0,0,0,0
 24-34,0,0,0.82,0.82,4.93,0,0,4.93,0,0.82,0,0.82,0,0,0,1.64,0,0,0,0,5.75,0,0,5.75,64.85,1.64,1.64,2.46,0,0,3.28,0,0,1.64,13.95,0,0.82,0,0
 36-46,0,0,0,0,3.22,0,0,4.03,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0,5.64,0,0.81,2.42,89.43,0.81,0,0.81,0,0,4.03,0,0,0,11.28,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,6.31,0,1.15,0.57,1.72,0,0,0,0,0,0.57,0.57,0,7.46,1.15,0,0.57,76.32,0,0,0,0,0,2.3,0,0,0,10.33,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,26.5,0,0.98,0.98,8.83,0.98,0,0,0.98,0,0,0.98,0,12.76,0,0.98,1.96,122.69,0,0,0.98,0,0,1.96,0,0,0,11.78,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,24.54,0,0,1.96,6.87,0,0,0,0.98,0.98,0,0.98,0,10.8,0,0,1.96,77.55,0,0,0,0,0,2.94,0,0,0,8.83,0.98,3.93,0.98,0
 84-94,0,0,0,0,2.12,2.12,0,16.99,0,0,1.06,4.25,4.25,0,0,0,1.06,0,1.06,1.06,11.68,2.12,1.06,1.06,25.49,0,2.12,0,0,0,6.37,0,0,0,4.25,0,0,1.06,0
 96-106,0,0,1.09,0,1.09,0,1.09,29.51,0,0,1.09,1.09,2.19,0,0,5.46,1.09,0,0,0,14.21,0,0,2.19,33.88,1.09,3.28,0,0,0,5.46,0,1.09,0,1.09,0,1.09,1.09,0
108-118,0,0,0,0,7.66,0.77,0.77,10.72,0,0.77,0.77,3.06,5.36,0,0.77,3.83,2.3,1.53,0,3.06,7.66,0.77,0,1.53,45.19,0.77,0,0.77,0,0.77,3.06,0,0,0,3.06,1.53,0.77,0,0
120,0,0,0,0,1.96,1.96,0,0,1.96,0,0,5.88,3.92,0,0,1.96,0,0,0,1.96,1.96,0,0,0,23.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
