stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,14,2,0,2,0,1,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,55,5,0,1,0,0,2,18,0,13,25,22,0,0,0,0,0
 24-34,0,0.82,4.93,0.82,0,6.57,0,0,1.64,0,0.82,0.82,1.64,0,1.64,0.82,0.82,0,0,4.93,0,0,2.46,45.97,1.64,1.64,0.82,0,0,13.13,0,0,0.82,5.75,11.49,0,0,0.82,0,0
 36-46,0,0,4.83,0,0,8.06,0,0.81,0,0.81,0.81,2.42,0,0,0.81,0.81,0.81,0,0.81,8.86,0.81,0,4.03,43.51,0.81,0,0,0,0,9.67,0,0.81,0.81,0,10.47,0,0,0,0,0
 48-58,0,0,2.3,0.57,0,4.59,2.3,0.57,0,1.15,0,13.2,0.57,0,0,0,0,0,0,8.03,0,0,1.15,25.25,0,1.15,0,0,0,6.89,0,0,0,0,3.44,0,0,0,0,0
 60-70,0,0,9.82,0.98,0,15.7,0,4.91,0,6.87,0,7.85,0.98,0,0,0,0,0,0,19.63,0.98,0,0.98,55.95,0,1.96,0.98,0,0,27.48,0,0,1.96,0,14.72,0,0.98,1.96,0,0.98
 72-82,0,0,6.87,1.96,0,16.69,0,0,5.89,4.91,3.93,4.91,2.94,1.96,0.98,0,0.98,0.98,0,42.21,0,0,4.91,39.27,1.96,0,2.94,0,0.98,18.65,0,0,0.98,0,5.89,0,0,1.96,0,0.98
 84-94,1.06,0,23.36,6.37,0,7.43,0,3.19,4.25,1.06,0,8.5,1.06,1.06,2.12,2.12,3.19,0,1.06,10.62,2.12,2.12,0,22.3,0,2.12,0,0,0,41.42,0,0,1.06,0,5.31,0,0,3.19,0,3.19
 96-106,0,0,18.58,1.09,0,15.3,2.19,4.37,2.19,8.74,2.19,0,1.09,0,2.19,0,1.09,0,0,18.58,1.09,0,4.37,15.3,2.19,4.37,4.37,0,0,20.76,0,0,1.09,0,1.09,0,0,2.19,1.09,2.19
108-118,0,0,43.66,3.83,1.53,9.96,0,8.43,5.36,10.72,3.06,0,1.53,0.77,3.06,0.77,1.53,2.3,0.77,48.26,0.77,0.77,8.43,26.81,0.77,0.77,3.83,0,0,37.53,0,1.53,2.3,0,0.77,0.77,1.53,3.06,0,2.3
120,0,0,170.5,3.92,0,15.68,3.92,31.36,17.64,11.76,11.76,0,1.96,9.8,5.88,0,0,9.8,1.96,119.55,3.92,0,29.4,74.47,7.84,5.88,13.72,0,0,131.31,0,1.96,1.96,0,1.96,1.96,1.96,5.88,0,0
