stage,blastomeres,epidermis,eye,glial,hatching_gland,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,10.51,0,7.89,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,1,0,1,0,0,0,1,5,0,0,3,0,1
 24-34,0,0.82,0.82,0,0,0.82,0,0,4.1,0,0,19.7,0.82,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,4.03,0,0.81
 48-58,0,0,1.15,0.57,0,0,0,0.57,0.57,0,0,0,0,0.57
 60-70,0,0,0.98,0,0,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,1.96,0,0,0,0,0
