stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,1,22,0,0,0,0
 24-34,0,0,0,1.64,0,0,2.46,0,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0.82,70.59,0,0,0.82,0,0,1.64,0,0.82,0,82.91,0,0,1.64,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0.81,101.51,0.81,0,0.81,0,0,0,0,0,0,171.61,0,0,0.81,0
 48-58,0,0,0,0,0,0,12.05,0.57,0.57,1.72,0,0,0,0,0,0,0,0,6.31,0,0,2.3,111.89,0,0.57,0,0,0.57,0.57,0,0,0,115.91,0,0,0.57,0
 60-70,0,0,0,0,0,0,14.72,0.98,0,5.89,0,0,0,0,0,0,0,0,2.94,0,0,0,164.9,0,0,0,0,0,0,0,0,0,169.8,0,0.98,0.98,0
 72-82,0,0,0.98,2.94,1.96,0,15.71,0,0.98,8.83,0.98,0,0,0,0,0,0,0.98,3.93,0,0.98,0,213.02,0,0.98,1.96,0,0,0,0,0,0,101.11,0,0,1.96,0.98
 84-94,0,0,1.06,1.06,2.12,0,22.3,0,0,11.68,0,0,0,1.06,0,0,0,0,5.31,0,0,1.06,109.39,1.06,2.12,0,0,0,4.25,0,0,0,57.35,0,0,1.06,3.19
 96-106,0,0,0,2.19,1.09,1.09,14.21,0,1.09,20.76,2.19,0,0,0,0,1.09,1.09,1.09,13.11,0,0,0,115.84,0,1.09,0,0,0,4.37,0,0,0,36.06,0,0,0,0
108-118,0,0,0,1.53,0,0.77,9.19,0,0.77,23.74,0.77,0,0,0,0,0,0.77,2.3,2.3,0,0,0.77,109.53,0,0,1.53,0,0,1.53,0,0,0,21.45,0.77,0,0,0
120,0,0,0,0,0,0,9.8,0,0,41.16,0,0,0,1.96,0,1.96,0,1.96,5.88,0,1.96,0,188.14,0,1.96,0,0,0,3.92,0,0,0,56.83,0,0,0,0
