stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0.82,0,0,51.71,0,0,0,0,0,0,14.78,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0.81,0,2.42,0,0,202.22,0,2.42,0,0,0,0,33.84,0,0,0.81,0,0
 48-58,0,0,0.57,0,1.15,0,44.76,0,0,2.87,0,0,0,0,0,2.3,0,0,282.31,0,0.57,0.57,0,0,0,39.02,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,213.97,0.98,0,4.91,0,0,0.98,0,0,3.93,0,0,458.37,0,2.94,0.98,0,2.94,0.98,51.04,0,0.98,0,0,0.98
 72-82,0,0,0,0,2.94,0.98,397.57,0,0.98,22.58,0.98,0,0,0.98,0.98,11.78,0.98,0.98,437.82,0,0,0.98,0,0.98,0.98,18.65,0.98,0,0.98,0.98,0
 84-94,0,0,1.06,0,4.25,1.06,223.03,2.12,0,30.8,0,1.06,0,0,0,8.5,1.06,1.06,201.79,0,1.06,1.06,0,1.06,0,7.43,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,260.1,0,0,25.14,0,1.09,0,3.28,0,6.56,0,1.09,172.67,1.09,3.28,0,0,1.09,1.09,8.74,0,1.09,0,0,1.09
108-118,0,0,0,0,3.06,0,169.28,0,0,11.49,0,0,0,0,0,3.83,0,0,192.26,0,1.53,0.77,0,0,0,3.83,0.77,0,3.06,0,0
120,0,0,0,0,5.88,1.96,121.51,0,0,9.8,0,1.96,0,0,0,5.88,0,1.96,223.42,0,1.96,1.96,0,0,0,5.88,0,0,0,0,0
