stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,52.71,579.83,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,2.63,0,0,15.77,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,3.15,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,6.87,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0.98,0,5.89,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,5.88,0,0,0,0,0,1.96
