stage,endocrine_pancreas,epidermis,eye,glial,gut,immune,lateral_line,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,9.85,0,0,0,2.46,0
 36-46,0,0,0.81,0,0,0,0,0,35.45,0.81,0,0,8.06,0
 48-58,0,0,2.3,0,0,0,0,0.57,41.89,0,0,0,6.89,0
 60-70,0,0,11.78,0,0,0,0,0,96.19,0,0,0,10.8,0
 72-82,0,1.96,16.69,0,0,0.98,0.98,1.96,101.11,0,0,0,8.83,0.98
 84-94,0,0,11.68,0,1.06,0,0,0,52.04,0,0,1.06,4.25,0
 96-106,1.09,2.19,15.3,2.19,0,0,0,1.09,55.74,0,1.09,1.09,6.56,0
108-118,0,0,6.89,0.77,0,0,0.77,0,49.79,0.77,0.77,0,2.3,0
120,0,0,7.84,0,0,0,0,0,39.2,0,1.96,1.96,0,0
