stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,31.54,5.26,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,5.75,0,0,1.64,0,1.64,18.06,0,0,0.82,0,0,0,0,0,0,6.57,0,0
 36-46,0,0,0,0,2.42,0,0.81,0,0,0.81,15.31,0,0,4.83,0,4.03,16.11,0,0,0.81,0,0,0,0,0,0,0.81,1.61,0
 48-58,0,0,0,0,3.44,0,1.15,0,0,0,9.18,0,0,2.3,0,0,4.59,0,0,0,0,0,0,0,0,0,1.72,0.57,0
 60-70,0,0,0,0,4.91,0,0.98,0,0,0,10.8,0,0.98,0.98,0.98,0.98,8.83,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,2.94,0,1.96,0,0,0,25.52,0,0,5.89,0,0,13.74,0,0.98,0,0,0.98,0,0,0,0,1.96,0,0
 84-94,0,0,1.06,0,1.06,0,1.06,0,0,0,43.54,0,0,0,0,0,5.31,0,0,2.12,0,0,0,0,1.06,0,0,3.19,0
 96-106,0,0,2.19,1.09,2.19,0,1.09,0,0,0,39.34,0,0,1.09,0,0,5.46,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,2.3,0,0.77,0.77,0,0,0,0,34.47,0.77,0.77,0,0,0,4.6,0,0,0.77,0,0,0.77,0,0,0,0,2.3,1.53
120,0,0,3.92,0,3.92,0,1.96,0,0,0,39.2,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,3.92,0
