stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,0,1.15,0.57,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,0.98,0,12.76,0,0,0,2.94,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,4.91,0,0,2.94,93.26,0,0,0.98,0,0,3.93,0,0.98,17.67,0,0,0,0,0.98,0,0,0.98,0,0,0,0.98
 84-94,0,2.12,1.06,0,2.12,0,0,1.06,198.6,0,0,0,1.06,0,3.19,0,0,18.05,0,0,0,0,0,2.12,0,1.06,0,0,1.06,0
 96-106,0,3.28,5.46,1.09,14.21,0,0,8.74,361.73,0,1.09,2.19,3.28,1.09,13.11,3.28,1.09,66.66,1.09,3.28,1.09,0,0,8.74,0,2.19,1.09,1.09,2.19,0
108-118,0,0.77,6.13,2.3,13.02,0.77,0,8.43,429.71,0,0.77,0.77,4.6,0,9.19,0,0,80.43,0.77,0,0.77,0,0,5.36,0,1.53,0,0,2.3,0.77
120,0,0,3.92,3.92,5.88,1.96,0,7.84,348.84,0,0,0,5.88,0,5.88,1.96,1.96,86.23,3.92,0,1.96,0,0,7.84,0,1.96,0,0,1.96,0
