stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,21.03,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,66.09,3.15,15.73,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,4,1,0,0,0,0,0,0,0,0,0,1,2,10,0,1,0,0,1,0,3,5,0,0,0
 24-34,0,0.82,0,0,1.64,0,0.82,0,1.64,0,0,0,0,3.28,1.64,4.1,0,0,3.28,0,0,0,0.82,3.28,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0.81,3.22,0.81,4.83,0,0,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,2.3,0,0,0,0,0,0,0,0,0.77,0,0
