stage,erythrocytes,eye,fast_muscle,glial,ionocyte,melanocytes,mesenchyme,muscle,neural,pronephros,somites,spinal_cord,xanthophores
 10-12,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,2,0,0,0,1,3,2,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0.81
 48-58,0,0.57,0.57,0,0,1.72,0,0,0,0,0,0,0.57
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0.98,0.98,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,3.92,0,0,0,0,0,0,0,0,0
