stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
 24-34,0.82,0.82,5.75,0,0,9.85,0,0,0,0,0.82,0,1.64,0,0,0,0,6.57,0,0,1.64,41.04,0,2.46,0.82,0,4.93,0,6.57,3.28,3.28,9.85,0,5.75,0,0
 36-46,0,0,1.61,0,0,6.45,0,0,0,2.42,0,0,0,0,0,0.81,0,8.06,0,0,0.81,20.14,0,1.61,1.61,0,4.03,0,4.03,4.83,0,6.45,0,0,0,0
 48-58,0,0,1.72,0,0,16.07,1.15,1.15,1.72,7.46,1.15,0.57,0,0.57,0,0.57,0,10.9,1.15,0,1.72,25.82,0.57,0,0.57,0,0.57,0,1.15,2.87,0,13.2,0,1.72,0,0.57
 60-70,0,0,0.98,0.98,0,31.41,6.87,0.98,0,8.83,0.98,1.96,0.98,1.96,0,0,0,22.58,0.98,0,1.96,36.32,0,0.98,0,0,5.89,0,2.94,3.93,0,7.85,0,0,0,0.98
 72-82,0,0,4.91,0.98,0,47.12,1.96,0.98,1.96,14.72,3.93,0,1.96,0,1.96,0,0.98,15.71,0.98,0,1.96,48.1,1.96,0.98,1.96,0,5.89,0,3.93,2.94,0,3.93,0.98,3.93,0,0.98
 84-94,0,0,6.37,1.06,0,43.54,1.06,3.19,1.06,7.43,7.43,2.12,2.12,4.25,0,1.06,2.12,14.87,1.06,1.06,2.12,26.55,1.06,0,1.06,0,10.62,0,3.19,0,0,3.19,2.12,2.12,1.06,1.06
 96-106,0,0,4.37,1.09,0,51.36,1.09,0,1.09,6.56,4.37,0,0,2.19,1.09,1.09,1.09,9.84,0,0,3.28,21.86,0,3.28,2.19,0,14.21,0,2.19,1.09,0,2.19,0,4.37,2.19,0
108-118,0.77,0,6.89,2.3,0,42.89,2.3,2.3,0.77,6.89,6.89,1.53,3.06,3.83,0.77,0.77,0.77,16.85,0.77,0,0,16.85,0.77,1.53,0,0.77,8.43,0,1.53,1.53,0,2.3,0,3.06,2.3,0
120,0,0,7.84,0,1.96,50.95,0,0,1.96,7.84,11.76,3.92,1.96,5.88,1.96,5.88,0,11.76,0,1.96,0,47.03,0,1.96,11.76,0,5.88,0,0,0,0,3.92,0,0,1.96,0
