stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,55.2,0,0,0,2.63,0,0,0,0,0,113.03,0,0,0,0,0,0,0,0,0,0,0,97.26,10.51,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,59.79,0,12.59,0,12.59,0,0,0,0,0,28.32,0,0,0,0,0,6.29,0,0,0,0,0,217.14,18.88,0,0,97.56,0,0,6.29,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,7,99,34,0,12,0,1,0,4,4,0,2,0,1,0,0,34,0,36,1,0,11,118,2,2,5,7,0,0,7,1,5,51,0,0,12,0,1
 24-34,0.82,0,2.46,1.64,44.33,2.46,0,31.19,0,4.93,3.28,11.49,0.82,0.82,6.57,1.64,0.82,0.82,0,55.82,0.82,66.49,0,0.82,23.8,233.12,3.28,0.82,9.03,0,0.82,3.28,0.82,1.64,1.64,73.06,0,0,92.76,0,9.03
 36-46,0,0,0,0,8.06,0.81,0,22.56,0,1.61,16.11,12.89,3.22,0,4.03,0,0,0,1.61,18.53,0,74.93,0,0.81,15.31,78.96,1.61,0,3.22,0,0,0.81,0,0,0,43.51,0,0,91.04,0,33.03
 48-58,0,0,0,0,6.89,0.57,0,32.71,0.57,0,11.48,24.1,1.15,0,5.16,0,0,1.72,0.57,10.33,0,95.83,0,2.87,18.94,50.49,1.15,0,4.02,0,0,1.15,0,0,0,22.38,0,1.15,105.58,0,64.84
 60-70,0.98,0,0.98,0.98,15.7,0,0,29.45,0.98,4.91,14.72,29.45,0.98,0,3.93,1.96,0.98,0,0.98,5.89,0,131.52,0,8.83,9.82,35.33,0.98,0.98,0.98,0,0,0,0,0,0,9.82,0,3.93,125.63,0,62.82
 72-82,0,0,0,0,9.82,1.96,0,30.43,0,4.91,20.61,38.28,2.94,0,14.72,1.96,1.96,0.98,2.94,1.96,0,156.08,1.96,5.89,15.71,18.65,0,0.98,2.94,0,0.98,0.98,0,1.96,0,1.96,0,3.93,230.69,6.87,54.97
 84-94,0,0,3.19,0,28.68,1.06,0,38.23,0,10.62,10.62,30.8,3.19,0,4.25,2.12,2.12,1.06,2.12,4.25,0,120.01,0,9.56,6.37,25.49,0,0,2.12,0,0,1.06,0,0,0,6.37,1.06,7.43,223.03,7.43,44.61
 96-106,0,0,1.09,0,13.11,2.19,0,28.41,0,4.37,6.56,22.95,1.09,0,10.93,3.28,1.09,0,0,1.09,0,74.31,1.09,1.09,4.37,16.39,3.28,0,3.28,0,0,5.46,0,3.28,0,7.65,0,1.09,297.25,3.28,52.46
108-118,0,0,0.77,0,20.68,0,0.77,29.11,0,6.89,5.36,18.38,3.83,0,7.66,6.89,0.77,2.3,0,1.53,0,72,1.53,2.3,3.83,19.92,2.3,3.06,1.53,0,0.77,0,0,1.53,0,5.36,0.77,1.53,224.43,2.3,58.21
120,0,0,1.96,0,31.36,5.88,0,31.36,1.96,9.8,11.76,19.6,3.92,0,1.96,5.88,5.88,1.96,0,0,0,76.43,0,1.96,3.92,35.28,3.92,0,5.88,0,1.96,5.88,0,0,0,5.88,0,1.96,270.45,5.88,25.48
