stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0
  5-6,190.02,993,0,6.13,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,134.85,6.13,0,0,30.65,0,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,113.03,31.54,0,147.21,0,0,7.89,0,0,0,0,0,120.92,0,0,0,0,0,0,0,0,0,0,273.39,89.38,0,0,862.22,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,50.35,0,6.29,3.15,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,204.55,125.88,0,0,522.4,0,6.29,0,0,40.91,0,0,0,0,0,0,0
 14-21,0,0,0,1,26,7,6,0,0,0,2,2,3,0,0,0,1,2,0,33,0,0,25,37,296,0,0,6,0,3,0,91,4,0,20,44,0,2,0,1
 24-34,0,0,1.64,0,5.75,1.64,7.39,0,8.21,5.75,6.57,0,0,3.28,0,0,0,0,0.82,93.58,0.82,0,65.67,76.34,242.15,1.64,0.82,0,0,0.82,0,0,4.1,0,9.85,58.28,0,12.31,0,0
 36-46,0,0,0,0,1.61,0.81,6.45,0,7.25,14.5,21.75,0,0,3.22,0,0,0,0,0,169.19,0.81,0.81,63.65,93.46,221.56,0.81,2.42,0,0,1.61,0,0,4.03,0.81,0,42.7,0,7.25,0,0.81
 48-58,0,0,0,0,1.72,0,13.77,0.57,1.72,13.77,22.95,0.57,0,2.3,0,0,0,0,0,204.85,0,0.57,34.43,41.31,162.96,0,2.3,0,1.15,0,0,0,0.57,0,0,27.54,0.57,2.3,0,0.57
 60-70,1.96,0,0,0,1.96,0,6.87,0,0,18.65,52.02,0,0,1.96,0,0.98,1.96,0,0,495.67,0,5.89,22.58,51.04,117.78,0.98,2.94,0,1.96,2.94,0,0,0,0,0,23.56,6.87,1.96,1.96,0
 72-82,0,0,0.98,0,1.96,0,14.72,0,0.98,15.71,39.27,0.98,0.98,0.98,0,0,0.98,0,0,441.75,0,7.85,24.54,32.39,94.24,0.98,1.96,0,1.96,0,0,0,0.98,0,0,3.93,7.85,2.94,4.91,1.96
 84-94,0,0,0,0,0,0,20.18,0,2.12,15.93,30.8,0,0,3.19,0,0,2.12,1.06,1.06,340.91,0,7.43,18.05,22.3,142.31,0,4.25,0,1.06,2.12,0,0,0,0,0,5.31,6.37,4.25,6.37,0
 96-106,0,0,1.09,0,3.28,1.09,8.74,0,0,10.93,17.49,0,0,2.19,0,0,1.09,1.09,1.09,191.25,0,4.37,8.74,19.67,102.73,0,2.19,0,1.09,0,0,0,0,0,0,3.28,5.46,7.65,8.74,2.19
108-118,0,0,0,0,1.53,0,9.19,0,0,7.66,16.85,0.77,0,0,0.77,0,0.77,0,0,132.51,0.77,0.77,2.3,29.11,108,0,3.06,0,0.77,0.77,0,0,0.77,0,0,0.77,3.06,2.3,3.83,2.3
120,5.88,0,0,0,1.96,0,15.68,0,0,1.96,15.68,0,0,3.92,0,1.96,0,3.92,0,121.51,1.96,0,9.8,23.52,123.47,0,0,0,1.96,0,0,0,3.92,0,0,3.92,1.96,1.96,3.92,0
