stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,13.14,0,0,2.63,0,0,0,0,136.69,2.63,0,0,23.66,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,0,0,0,56.65,3.15,0,0,15.73,0,3.15,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,8.21,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,1.61,0,0,0.81,0,0,0,11.28,0,0,0,0,0,0,0.81
 48-58,0,0,0,1.72,0.57,0,0,0,0,0,1.72,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0.98,0.98,0,2.94,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,2.12,0,0,1.06,0,2.12,4.25,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.19,0,0,5.46,0,0,0,0
108-118,0,0,0,0,0,0,0,3.83,0.77,0,0,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0
