stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,47.32,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,40.91,59.79,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,14,0,0,0,0,477,2,0,1,5,4,0,0,0,0
 24-34,0,0,2.46,0.82,0.82,0,0.82,0,0.82,0,0,0.82,0,0,0,0,2.46,4.93,0,0.82,34.48,0.82,0.82,0,0,529.45,0.82,0,0.82,4.1,4.1,0,0,0,0
 36-46,0,0,0.81,0,3.22,0,4.83,0,0.81,0,0,0,0,0,0,0.81,1.61,5.64,0,1.61,15.31,0,0,0,0,388.33,0,0.81,0,0,1.61,0,0,0,0.81
 48-58,0,0,2.3,0,1.15,0,2.3,1.15,0,0,0,0,0,0.57,0,0,2.3,0,0.57,0.57,12.62,0,0,0.57,0,172.72,0,0,0,0,4.59,0,0,0,0
 60-70,0,0,9.82,0,3.93,0,5.89,0,2.94,0,0,0,0,1.96,0,0,0.98,0,0,0,16.69,1.96,0,0,0,176.67,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,15.71,0,1.96,0,4.91,0,3.93,2.94,0,0,0,3.93,0,0,5.89,1.96,0,0,13.74,0,0,0.98,0,160.99,0,0,0,0,2.94,0,0,0,0.98
 84-94,0,0,26.55,0,3.19,0,14.87,0,0,1.06,0,0,1.06,4.25,0,1.06,1.06,2.12,1.06,0,7.43,0,0,0,0,314.36,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,39.34,0,6.56,0,21.86,1.09,4.37,0,0,0,1.09,6.56,1.09,0,7.65,8.74,1.09,0,13.11,0,0,2.19,0,544.24,0,0,1.09,0,0,0,0,0,0
108-118,0,0,44.43,0.77,3.83,0.77,25.28,0,3.83,3.06,0,0,0.77,16.85,0,0,5.36,7.66,0,0.77,11.49,0,0,0.77,0,572.17,0,0,0,0,0.77,0,0,0.77,0
120,0,0,17.64,0,3.92,0,43.12,0,3.92,0,0,1.96,0,7.84,0,0,0,0,0,0,5.88,0,0,0,0,399.8,0,1.96,0,0,0,0,1.96,0,0
