stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,46,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,4,0,0,3,25,0,0,0,0,0,0,0,6,1,8,0,0,1,0,0
 24-34,0,0,0,3.28,0.82,59.1,0,4.1,0,0,0,4.93,0.82,0,2.46,0,0,0,0.82,0,0.82,18.88,0,0.82,7.39,100.14,0,1.64,1.64,0,0,0,0,6.57,0.82,29.55,0,0,24.63,0,0
 36-46,0,0,0,0,0.81,16.11,0,31.42,0,1.61,0,8.06,0.81,0,7.25,0,0,0,2.42,0,0,61.23,0,1.61,19.34,221.56,0,4.03,4.83,0,0,0,0,2.42,0,66.06,0,0,37.87,0,0.81
 48-58,0.57,0,0.57,0,2.87,16.64,0,149.76,0,0,0.57,13.2,0,0,17.21,0,0,0,0.57,0,1.15,111.89,0,8.03,24.1,292.07,0.57,1.15,8.61,0,2.3,0,0,0,0,70.58,0,1.15,35,0,0.57
 60-70,0,0,0,0,7.85,11.78,0,491.74,0.98,1.96,1.96,21.59,4.91,0.98,15.7,0.98,0.98,0,0,1.96,0.98,246.36,1.96,13.74,22.58,579.1,0,0,19.63,0,3.93,0,0,0.98,0,98.15,0,15.7,41.22,1.96,0.98
 72-82,0,0,0,0,22.58,33.38,0.98,407.39,1.96,0.98,1.96,61.84,15.71,0,25.52,0.98,0,1.96,3.93,0.98,0,369.1,2.94,39.27,34.36,577.22,0.98,3.93,24.54,0,3.93,2.94,0.98,0,0,65.77,0,20.61,78.53,9.82,1.96
 84-94,0,0,2.12,0,30.8,26.55,1.06,303.74,0,4.25,3.19,43.54,14.87,0,18.05,1.06,1.06,1.06,5.31,4.25,3.19,264.45,2.12,36.11,30.8,350.47,1.06,2.12,20.18,0,3.19,2.12,0,3.19,0,35.05,0,21.24,87.09,16.99,0
 96-106,0,0,1.09,0,33.88,29.51,2.19,225.13,1.09,3.28,5.46,57.92,16.39,0,22.95,3.28,1.09,1.09,2.19,4.37,1.09,240.43,8.74,37.16,16.39,290.7,0,1.09,45.9,0,12.02,15.3,2.19,0,0,13.11,0,26.23,87.43,14.21,2.19
108-118,0,0,0.77,0,31.4,32.94,6.13,157.79,0,2.3,1.53,45.19,11.49,0,13.02,4.6,1.53,0.77,3.83,5.36,4.6,236.68,3.06,24.51,17.62,356.94,0.77,1.53,41.36,0,8.43,6.13,0,2.3,0,12.26,1.53,20.68,52.09,10.72,0
120,0,0,0,0,29.4,19.6,5.88,117.59,0,1.96,0,52.91,5.88,0,13.72,0,1.96,1.96,1.96,3.92,1.96,186.18,3.92,15.68,17.64,341,0,0,29.4,0,5.88,7.84,0,1.96,0,23.52,0,7.84,68.59,11.76,0
