stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,373.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,52.57,21.03,0,0,0,404.82,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,1727.06,5.26,0,0,110.41,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,78.67,0,0,0,201.41,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,1447.61,12.59,0,0,141.61,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,56,3,0,89,0,1,0,3,4,0,0,1,0,0,0,0,0,20,0,0,11,1912,13,0,0,6,0,3,15,26,1,25,582,0,0,1,0,0
 24-34,0.82,0,0,16.42,3.28,0,36.12,0.82,0.82,0.82,10.67,1.64,0,1.64,0,0.82,0,0.82,0.82,0.82,27.09,0,0,15.6,2747.41,1.64,4.1,1.64,0,0,8.21,0,0.82,1.64,4.93,563.11,0,0,5.75,0,1.64
 36-46,0,0,0,4.03,0.81,0,47.53,4.03,0.81,0.81,70.9,0,0,1.61,0.81,0.81,0.81,0,0,1.61,28.2,0,0,6.45,2233.32,2.42,2.42,1.61,0,0,6.45,0,1.61,0,0,521.27,0,0,2.42,0,4.03
 48-58,0,0,0,10.9,0,0,91.23,0.57,1.15,0,137.71,0,0,0.57,0,0.57,0.57,0.57,0,1.15,35.58,0.57,2.3,8.03,1077.03,0.57,1.72,1.72,0,0,5.16,0,0.57,0,0,341.41,0,0,3.44,0,4.02
 60-70,0,0,0,0.98,0,0,31.41,0,0.98,0,97.17,0,0,0,0.98,0.98,0,0,0,0,13.74,0,0,1.96,414.2,0,0,0,0,0.98,1.96,0,0,0,0,92.26,0,0,0,0,3.93
 72-82,0,0,0,8.83,6.87,0,53.01,0,1.96,0.98,133.51,0,0,0,0,0,0.98,0,0.98,0,23.56,0,0,2.94,310.21,0.98,0.98,0,0,0,0,0,0,0,0,26.5,0,0,0,1.96,2.94
 84-94,0,0,0,11.68,0,0,66.91,0,0,0,83.9,0,0,0,0,0,2.12,1.06,0,0,13.81,0,2.12,2.12,240.02,0,1.06,2.12,0,0,4.25,0,0,1.06,0,21.24,0,1.06,1.06,0,0
 96-106,0,0,0,15.3,3.28,0,53.55,0,1.09,1.09,79.78,1.09,0,1.09,1.09,1.09,0,1.09,3.28,0,10.93,0,1.09,4.37,199.99,0,0,3.28,0,0,0,0,0,1.09,0,9.84,0,0,0,1.09,1.09
108-118,0,0,0,3.83,0,0,19.92,0,0,0,71.23,0,0,0,0.77,0,0.77,0,0,0,9.19,0,0,4.6,281.11,0,1.53,0.77,0,0.77,0,0,0,0.77,0,4.6,0.77,0,0.77,0,0
120,0,0,0,7.84,3.92,1.96,45.08,0,0,1.96,66.63,0,0,0,0,0,0,0,0,0,5.88,0,1.96,0,233.21,3.92,0,0,0,0,3.92,0,1.96,0,0,9.8,0,0,3.92,0,0
