stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,49.95,5.26,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,4,0,7,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,64,1,0,0,0,0,1,9,1,0,11,34,0,3,0,0
 24-34,0,0.82,4.1,4.1,2.46,0,23.8,0,1.64,1.64,4.1,0,0,2.46,0.82,0.82,0,0,0,13.95,0,0,14.78,169.92,1.64,3.28,0,0.82,0,0.82,0,0.82,0,3.28,52.53,0,4.93,0,0.82
 36-46,0,0,0,1.61,0.81,0,29,0,0,2.42,4.83,0,0.81,0,3.22,0,0,0,0,21.75,0,0.81,8.06,135.35,0.81,0,1.61,0,0,1.61,0,0.81,0,0,34.64,0,2.42,0,0
 48-58,0,0,0.57,1.72,0.57,0,49.35,0,0.57,1.15,8.03,0,0,0,2.3,0,0,1.15,0,27.54,0.57,0,6.31,79.76,0,1.72,1.15,0,0,0,0,0,0.57,0,25.25,0,1.72,0,1.72
 60-70,0,0,0,0.98,1.96,0,55.95,0,0,0,10.8,0,0,0.98,0.98,0,0,0.98,0,34.35,0,1.96,0.98,55.95,1.96,0,0,0,0,0.98,0,0.98,0,0,12.76,0,1.96,0,0
 72-82,0,0.98,0,1.96,4.91,0,48.1,0,1.96,2.94,16.69,2.94,0,0,6.87,0,0,0.98,0.98,46.14,0,0.98,4.91,63.81,1.96,0.98,1.96,0,0,0,0,0,0,0,8.83,0,11.78,0.98,0.98
 84-94,0,0,0,4.25,3.19,0,42.48,0,2.12,2.12,8.5,0,2.12,1.06,7.43,1.06,0,0,1.06,36.11,0,2.12,2.12,25.49,0,0,2.12,0,1.06,2.12,0,1.06,0,0,2.12,1.06,1.06,2.12,1.06
 96-106,0,0,0,8.74,4.37,0,24.04,0,0,1.09,9.84,0,0,1.09,17.49,0,1.09,0,2.19,24.04,0,3.28,2.19,34.97,1.09,0,1.09,0,1.09,1.09,0,0,0,0,4.37,2.19,2.19,2.19,1.09
108-118,0,0,0,9.19,3.06,1.53,19.92,0.77,2.3,0.77,5.36,3.06,0,0,11.49,0,3.83,0.77,0,27.57,0,0.77,3.06,42.13,0.77,0,3.06,0,1.53,2.3,0,0.77,0,0,0.77,2.3,6.13,0.77,1.53
120,0,0,0,5.88,0,0,15.68,1.96,1.96,0,5.88,3.92,0,0,5.88,0,0,0,0,29.4,0,0,7.84,37.24,0,0,1.96,0,0,1.96,0,0,0,0,3.92,0,0,0,0
