stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,6,60,23,17,0,0,1,3,1,1,0,1,0,2,48,0,23,388,35,1,3,41,0,1,201,3,7,74,169,0,1,0
 24-34,0.82,1.64,9.03,3.28,60.74,2.46,1.64,4.93,0,0,0.82,0,0,3.28,0,86.19,0.82,49.25,778.17,2.46,1.64,4.93,0,1.64,0,0,0.82,1.64,14.78,307,0,9.85,2.46
 36-46,0,0,1.61,0,98.29,0,1.61,2.42,0,0,0,0.81,0,0,0,75.73,0.81,22.56,366.58,0.81,0.81,1.61,0,0,0,0,0,0,0,186.11,0,4.03,0
 48-58,0,0,0.57,0,57.38,0,1.72,3.44,0,0,0,0,0,0,0,40.17,0.57,10.9,45.9,0,0,0,0,0,0,0,0,0,0,40.74,0,1.72,0.57
 60-70,0,0,0,0,37.3,0,0.98,0.98,0,0,0,0,0,0,0,27.48,0,1.96,10.8,0,0,0,0,0,0,0,0,0,0,6.87,0.98,0,0
 72-82,0,0,0,0,4.91,0,0.98,2.94,0,0,0,0,0,0,0,15.71,0,2.94,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.25,0,6.37,0,0,0,0,0,0,0,0,4.25,0,7.43,5.31,2.12,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,3.28,0,0,0,0,0,0,0,0,3.28,0,2.19,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.6,0,1.53,0,0,0,0,0,0,0,0,3.83,0,1.53,3.06,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
