stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,229.73,0,0,0,3.15,12.59,0,3.15,0,0,0,0,0,0
 14-21,1,1,0,5,2,1,0,0,0,0,1,0,0,0,0,7,0,12,41,1,0,1,0,0,0,0,369,0,5,329,12,0,0,0,0,0
 24-34,0,0,0,4.93,0.82,5.75,0,0,0.82,0.82,0.82,0,0,0,0,22.16,0,4.93,117.38,1.64,0.82,0,0,0,1.64,0,1.64,0,0,41.04,28.73,0,0,0,0,0
 36-46,0,0,0,3.22,0,4.03,0,0,0,1.61,0,0.81,0,0,0,18.53,1.61,2.42,265.87,0.81,3.22,0,0,0,2.42,0.81,0,0,0,0,68.48,0,0,0,0,0
 48-58,0,0,0,1.15,0,21.23,0.57,0.57,0.57,12.05,0,0,0.57,0,1.72,16.64,0.57,1.15,319.04,1.15,1.15,0.57,0,0,1.15,0,0,0,0,0,61.97,0,0,0.57,0,0
 60-70,0,0,0,3.93,0,77.54,0,0,0,24.54,0,0,0,0,0.98,10.8,0,0.98,366.11,0.98,0.98,0,0,0.98,1.96,0,0,0.98,0,0,53.98,0,0,0,0,1.96
 72-82,0,0.98,0,1.96,0,105.04,0,0,0.98,42.21,0,0.98,0,0,0.98,28.47,0,0.98,256.21,0,0,0.98,0,0,0.98,0.98,0,0,0,0,31.41,0,0,0,0.98,0
 84-94,0,0,0,5.31,1.06,61.6,0,0,0,36.11,0,0,0,2.12,0,22.3,0,0,122.13,0,1.06,0,0,1.06,9.56,0,0,0,0,0,20.18,2.12,0,0,0,0
 96-106,0,0,0,8.74,0,64.48,0,0,0,36.06,0,0,1.09,0,1.09,10.93,0,0,115.84,0,2.19,1.09,0,2.19,1.09,0,0,0,0,0,4.37,7.65,1.09,1.09,2.19,0
108-118,0,3.06,0,6.89,1.53,42.13,0,0,0,22.21,1.53,0,0.77,0,0.77,5.36,1.53,0.77,114.13,0,0,0.77,0,0.77,3.83,0,0,0,0,0,12.26,6.89,0,0.77,0,0.77
120,0,0,0,1.96,0,48.99,0,0,0,39.2,0,0,0,0,0,5.88,1.96,0,101.91,0,0,1.96,0,1.96,5.88,0,0,0,0,0,3.92,5.88,0,0,3.92,1.96
