stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,3.28,0,0.82,0,0,52.53,1.64,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,1.61,0,4.03,0,0,24.98,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,1.72,0,0.57,0,5.16,0,3.44,0,0,9.75,0,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,0,0.98,0,3.93,0,0,0.98,1.96,0,3.93,0,0,9.82,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,0,4.91,0,0,0,1.96,0,6.87,1.96,0,11.78,0,0,1.96
 84-94,0,0,2.12,2.12,0,1.06,1.06,0,1.06,0,2.12,6.37,0,1.06,0,0,0,19.12,0,0,19.12,0,0,0
 96-106,0,1.09,6.56,0,1.09,2.19,0,0,0,0,0,13.11,0,0,0,3.28,1.09,22.95,0,0,30.6,0,0,0
108-118,0,0,3.06,2.3,0,1.53,0,0.77,0,0,0,9.96,1.53,1.53,1.53,3.06,0,17.62,0.77,1.53,19.92,0,0,0
120,0,0,1.96,1.96,0,0,0,1.96,0,0,1.96,11.76,0,0,0,0,0,11.76,1.96,0,19.6,0,1.96,0
