stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,2,1,1,0,0,1,1,0,0,1,11,1,0,1,0,5,0,4,13,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,5.75,16.42,0,0,0,0,0,0,0,8.21,0
 36-46,0,0,0,1.61,0,1.61,0,0,0,0,7.25,0,0,0,0,0,0,0,3.22,0
 48-58,0,0.57,0,0.57,0,0,0,0,0,0,4.59,0,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,2.94,0.98,0,0,0,0,0,8.83,0,0.98,0,0,0,0,0,0.98,0.98
 72-82,0,0.98,0,0.98,0,0.98,0,0,0.98,0.98,4.91,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,2.12,0,2.12,0,1.06,1.06,0,0,1.06,0,0,2.12,0,1.06,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,0,1.09,0,1.09,2.19,0,3.28,1.09,1.09,0,0,0,0,0
108-118,0,0,0.77,3.83,0,0.77,0,0,0,0,3.83,0,2.3,1.53,0,0,0.77,0,0.77,0
120,0,0,0,1.96,0,1.96,0,0,0,0,7.84,0,3.92,0,0,0,0,0,0,0
