stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,183,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,16,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0
 24-34,0,0,0,0.82,335.73,0,0,3.28,0,56.64,0.82,0.82,0.82,0,0,0.82,6.57,0,0,0,0.82,5.75,5.75,0,1.64,33.66,10.67,2.46,0,0,0,1.64,0,0,0,0,7.39,0,0,0,0,0
 36-46,0,0,0,0,158.72,0,0,1.61,0,63.65,14.5,1.61,0,0,0,0,1.61,0,0,0,0,12.09,7.25,0,3.22,17.72,28.2,0,0,0,0,0.81,0.81,0,0,0,1.61,0,0,0,0,0
 48-58,0,0.57,0,0,177.31,0,0,6.31,0,63.12,58.53,2.3,0,0,0,0.57,3.44,0,0.57,0.57,0,93.53,2.3,0.57,10.9,19.51,31.56,0.57,0,0,0,0.57,0,0,0,0,6.31,0,0,0.57,0,0.57
 60-70,0.98,0,0,0,143.3,0,0,13.74,0,47.11,98.15,5.89,0,0,0.98,0,1.96,0,0,0,0.98,632.1,5.89,4.91,32.39,34.35,42.21,0.98,0.98,0,3.93,0.98,0,0,0,0,5.89,0,0.98,0,4.91,0.98
 72-82,0,0,0,0,190.44,3.93,0,115.84,0.98,54.97,177.68,21.6,3.93,0.98,0.98,0,9.82,0.98,0,0,0,1657.05,1.96,14.72,68.72,120.74,43.19,2.94,2.94,0,7.85,4.91,0,0.98,0,0,12.76,1.96,10.8,3.93,19.63,0.98
 84-94,0,0,1.06,0,346.22,3.19,0,199.66,2.12,76.47,132.75,18.05,2.12,0,1.06,2.12,13.81,4.25,1.06,3.19,0,1483.67,3.19,15.93,46.73,43.54,74.34,0,1.06,0,9.56,9.56,0,0,1.06,0,4.25,2.12,16.99,2.12,25.49,1.06
 96-106,1.09,0,0,1.09,523.47,5.46,2.19,145.35,6.56,98.36,134.42,38.25,1.09,0,2.19,6.56,5.46,3.28,1.09,5.46,1.09,1563.86,17.49,15.3,53.55,144.26,51.36,3.28,4.37,0,16.39,18.58,0,3.28,0,0,1.09,3.28,7.65,5.46,32.79,2.19
108-118,2.3,0,0,0.77,199.15,13.02,1.53,82.72,0,55.15,120.26,14.55,4.6,0,0.77,3.06,5.36,0.77,1.53,2.3,1.53,1514.31,5.36,9.19,60.51,109.53,111.06,0.77,2.3,0,11.49,10.72,0,0.77,0,0,3.83,1.53,6.13,4.6,26.04,0
120,5.88,0,0,0,180.3,1.96,1.96,78.39,5.88,82.31,150.9,13.72,5.88,0,0,5.88,5.88,0,3.92,11.76,0,1422.8,3.92,1.96,41.16,103.87,133.27,3.92,1.96,0,1.96,3.92,0,0,0,0,0,1.96,9.8,0,33.32,0
