stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,18.4,0,0,89.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,163.64,18.88,0,0,91.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,19,1,0,0,1,1,0,0,0,0,0,0,16,0,3,8,6,0,1,2,0,0,0,6,0,3,18,0,5,0,0
 24-34,0,0,0,3.28,0.82,0,0,1.64,0,0,0.82,0,0,0,0,0,55,0,12.31,24.63,0.82,0,0,0,0.82,0,0,0,0,0.82,6.57,0,16.42,0,0.82
 36-46,0,0,0,0,0.81,0.81,0,2.42,0.81,0,3.22,0,0,0,0,0.81,104.74,4.03,16.11,18.53,0.81,0,0,0,0,0,0.81,0,0,0,4.83,0.81,6.45,0,0.81
 48-58,0.57,0,0,1.15,0.57,4.59,0.57,8.03,4.02,0,1.15,0.57,1.15,0,0,0.57,174.44,3.44,23.53,20.08,0.57,0,0.57,0,0,0,0,0,0.57,0,1.72,1.15,8.03,0,0
 60-70,0,0,0,0.98,0,1.96,0,5.89,2.94,0,0.98,0.98,0.98,0,0,1.96,215.93,5.89,23.56,26.5,0.98,0,0,0,0,0.98,0,0,0,0,3.93,6.87,9.82,0.98,0
 72-82,0,0,0,3.93,2.94,10.8,0.98,6.87,10.8,0,3.93,0.98,0,0.98,0,0,363.21,10.8,22.58,46.14,0,0,0,0,2.94,0.98,0,0,0.98,0,1.96,7.85,12.76,6.87,0.98
 84-94,0,0,0,2.12,13.81,21.24,0,7.43,1.06,0,0,1.06,2.12,0,1.06,2.12,234.71,16.99,14.87,24.43,1.06,1.06,1.06,0,2.12,0,0,0,1.06,0,7.43,6.37,16.99,9.56,1.06
 96-106,0,0,0,1.09,8.74,7.65,1.09,4.37,5.46,1.09,2.19,0,0,0,0,3.28,256.82,9.84,14.21,33.88,1.09,2.19,5.46,0,4.37,0,0,0,0,0,6.56,8.74,27.32,15.3,0
108-118,0,0,0,1.53,18.38,9.19,0.77,9.96,3.83,0.77,4.6,0,0.77,0,0,0.77,224.43,9.19,17.62,26.81,3.83,0,0,0,3.06,0,0,0,1.53,0,2.3,4.6,12.26,9.19,0.77
120,0,0,0,1.96,19.6,7.84,0,0,3.92,0,1.96,0,0,0,0,0,101.91,3.92,7.84,31.36,1.96,0,1.96,0,0,0,0,0,1.96,0,1.96,0,7.84,9.8,0
