stage,blastomeres,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,15.77,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,10.67,0,0.82,2.46,0.82,0,0,0,0
 36-46,0,0.81,0.81,0,0,0.81,0,24.98,0,0,5.64,0.81,0,0,0.81,0
 48-58,0,0,0.57,0,0,0,0,20.08,0,0,5.16,1.72,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,23.56,0,0,9.82,1.96,0,0.98,1.96,0
 72-82,0,0.98,3.93,0,0,0,0,43.19,0,0,3.93,1.96,0,0,0,0
 84-94,0,1.06,1.06,0,0,1.06,0,53.1,0,0,4.25,1.06,0,0,1.06,0
 96-106,0,0,1.09,0,0,1.09,0,59.01,1.09,0,6.56,2.19,0,1.09,0,0
108-118,0,0.77,1.53,0.77,0.77,0,0,49.79,0,0.77,3.06,0.77,0,0,0,0.77
120,0,0,0,0,0,0,0,54.87,0,0,3.92,0,0,0,0,0
