stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,2.46,0,1.64,0,0,0,0,0,80.44,0,0,0,0.82,1.64,7.39,0,0,0,1.64,0.82,0,0,0.82,0,0,0.82,0,0
 36-46,0,0.81,0.81,0.81,0,0,0,0,0,106.35,0,0,0,2.42,0,16.92,0,0,0,0,0,0,0,7.25,0,0,0,0,0.81
 48-58,0,2.3,0.57,3.44,0.57,0.57,0,0.57,0,110.74,0,0.57,0.57,1.15,0.57,6.89,0,0,0,0.57,0,0,0,3.44,0,0,0,0,1.15
 60-70,0,1.96,0.98,8.83,0,0,0,0.98,0,138.39,0,0,0,3.93,0,10.8,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0
 72-82,0,1.96,3.93,13.74,0.98,0,0,2.94,0.98,152.16,0,0,0,9.82,0.98,21.6,0,0,0,0,0,0.98,0,0.98,0,0.98,0.98,0.98,1.96
 84-94,0,2.12,3.19,5.31,0,0,0,2.12,1.06,208.16,0,0,0,6.37,0,5.31,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,2.19,0,9.84,1.09,0,2.19,2.19,2.19,221.85,1.09,1.09,1.09,5.46,0,14.21,0,1.09,1.09,4.37,0,0,0,3.28,0,0,1.09,0,0
108-118,0,2.3,0.77,3.83,0,0,0.77,0,0.77,168.51,0.77,0.77,0,3.06,0,9.19,0,0,0,2.3,0,0,0,0,0.77,0,0.77,0,0
120,0,1.96,1.96,3.92,0,0,0,1.96,0,282.21,0,0,0,5.88,0,13.72,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
