stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,96,3,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,45.15,0,0,8.21,0,0.82,0,0,1.64,0,2.46,0,0,0,0.82,0,0.82,15.6,3.28,0,5.75,127.23,1.64,4.1,0.82,0,444.08,0,0,2.46,4.1,20.52,0,0,4.93,0,1.64
 36-46,0,0,0,20.14,0.81,0,7.25,0,0,0,1.61,0,0,0,0,0,0,0,0,0,6.45,0.81,0,1.61,45.92,0.81,0,0.81,0,166.77,0,0,0,0,12.89,0,0,1.61,0,0
 48-58,0,0,0,33.85,0,0,13.2,0,0,0,3.44,0,0,0,0,0.57,0,0,0,0.57,5.16,0,0,1.15,22.95,0.57,0,0,0,32.71,0,0,0,0,6.31,0,0,0.57,0,0
 60-70,0,0,0,79.5,0,0,43.19,0,0.98,0.98,2.94,0.98,0,0,0.98,0.98,0,0,0,0,11.78,0.98,0,0.98,62.82,0,0,0,0,26.5,0,0,0,0,8.83,2.94,0,0,0,1.96
 72-82,0,0,0,174.74,5.89,0.98,93.26,0,2.94,3.93,13.74,15.71,0.98,1.96,2.94,6.87,1.96,0,0,0,45.16,4.91,2.94,7.85,197.31,0,7.85,2.94,0,36.32,0,0.98,0.98,0,9.82,21.6,0.98,4.91,2.94,5.89
 84-94,0,1.06,0,360.03,18.05,0,63.72,2.12,3.19,3.19,14.87,35.05,0,1.06,4.25,14.87,4.25,2.12,3.19,2.12,40.36,2.12,3.19,8.5,109.39,1.06,5.31,1.06,1.06,87.09,0,1.06,0,0,7.43,66.91,0,3.19,2.12,1.06
 96-106,0,1.09,0,515.82,24.04,5.46,116.93,0,8.74,5.46,46.99,102.73,0,2.19,10.93,20.76,2.19,7.65,13.11,0,91.8,6.56,6.56,17.49,210.92,5.46,6.56,8.74,1.09,121.31,0,2.19,1.09,0,12.02,101.63,0,13.11,6.56,5.46
108-118,0,0,0.77,512.43,13.79,6.89,71.23,1.53,11.49,3.06,28.34,117.19,0,3.06,4.6,29.11,1.53,3.06,5.36,3.06,75.83,4.6,4.6,9.96,212.17,1.53,4.6,2.3,2.3,147.83,0,1.53,0,0,5.36,127.92,1.53,9.19,3.83,6.89
120,0,0,0,423.31,7.84,5.88,76.43,1.96,13.72,9.8,15.68,41.16,1.96,0,7.84,15.68,1.96,3.92,3.92,0,52.91,7.84,7.84,7.84,174.42,1.96,1.96,5.88,1.96,117.59,0,1.96,0,0,3.92,31.36,1.96,3.92,0,5.88
