stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,21,4,2,0,0,0,2,0,0,0,6,1,1,0,0,0,4,0,0,1,78,1,0,0,0,0,8,0,3,38,0,0,0,0,0
 24-34,0,0.82,0.82,2.46,0,6.57,0,0.82,0,0,0,0,0,19.7,0,0,0.82,0,0,9.85,0,0,4.1,173.2,0.82,1.64,0,0,0,0,0,0.82,35.3,0,0,7.39,0,0
 36-46,0,0,0,4.03,0.81,24.17,0,1.61,0,3.22,0,0.81,0.81,19.34,0,0,0,0,0.81,11.28,0,0,2.42,178.05,0.81,0.81,0,0,0,0,0,0,32.23,0,0,6.45,0,1.61
 48-58,0,0,0,2.87,0,39.02,0.57,0.57,0.57,7.46,0.57,1.72,0,26.97,0,0,0.57,0,0.57,18.94,0.57,0,1.72,112.47,1.15,0.57,0.57,0,0,0,0,0,29.84,0,0,4.02,0,0.57
 60-70,0,0,0,0.98,0,41.22,0,0.98,0.98,13.74,1.96,0,1.96,40.24,0,2.94,0,0.98,0,19.63,0.98,1.96,1.96,85.39,2.94,0.98,0,1.96,0,0,0.98,0,16.69,0,0.98,3.93,0,0.98
 72-82,0,0.98,0,1.96,0,59.88,0,0.98,1.96,5.89,1.96,0,0,69.7,0,1.96,0.98,0,0,18.65,0.98,0.98,1.96,49.08,1.96,3.93,0,0.98,0,0,0,0,3.93,1.96,0.98,9.82,0.98,0.98
 84-94,0,0,0,7.43,1.06,33.99,2.12,3.19,0,2.12,2.12,0,1.06,94.52,1.06,2.12,2.12,1.06,1.06,16.99,0,1.06,2.12,30.8,0,3.19,0,2.12,1.06,0,0,0,2.12,1.06,1.06,7.43,0,2.12
 96-106,0,1.09,0,2.19,3.28,19.67,2.19,5.46,0,4.37,1.09,0,0,112.56,0,0,1.09,1.09,0,18.58,1.09,0,4.37,24.04,2.19,3.28,0,0,0,0,0,0,2.19,1.09,2.19,9.84,3.28,2.19
108-118,0,0.77,0,9.19,3.06,25.28,0,3.06,0.77,5.36,6.89,0,0.77,116.43,0.77,6.89,2.3,0,3.83,30.64,0.77,1.53,0.77,26.04,0.77,1.53,0,0.77,0.77,0,0,0,0.77,1.53,0.77,8.43,1.53,1.53
120,0,0,0,13.72,1.96,19.6,0,0,0,1.96,5.88,0,0,111.71,0,3.92,0,0,1.96,25.48,0,0,3.92,15.68,0,1.96,0,0,0,0,0,0,0,1.96,0,3.92,0,0
